kills,win,prev_rating,new_rating,new_sigma,file_number
2,1,110.0,134.21,44.39,54
1,1,134.21,140.15,43.76,54
1,1,140.15,141.15,43.74,54
2,1,141.15,144.91,42.23,54
0,1,144.91,145.74,42.19,54
0,1,145.74,146.33,42.15,54
4,1,146.33,154.16,36.89,54
0,0,154.16,130.58,35.23,54
3,1,130.58,144.9,29.57,54
1,0,144.9,142.22,29.5,54
1,1,142.22,146.67,29.26,54
2,1,146.67,153.92,27.75,54
2,0,153.92,153.13,27.74,54
4,1,153.13,156.72,25.43,54
0,1,156.72,157.45,25.43,54
2,1,157.45,157.6,25.32,55
2,1,157.45,157.6,25.32,55
2,1,157.45,157.6,25.32,55
0,0,157.6,154.96,24.98,55
0,0,157.6,154.96,24.98,55
1,1,154.96,156.06,24.55,55
3,1,156.06,158.63,22.32,55
2,1,158.63,159.45,21.53,55
1,1,159.45,163.2,21.39,55
0,1,163.2,163.46,21.38,55
3,1,163.46,164.42,20.44,55
1,1,164.42,167.72,20.28,55
0,0,167.72,159.74,18.72,55
0,0,167.72,159.74,18.72,55
2,1,159.74,159.75,18.72,55
2,1,159.74,159.75,18.72,55
2,1,159.75,159.93,18.52,55
1,1,159.93,172.1,17.22,55
0,1,172.1,172.1,17.22,55
0,0,172.1,143.71,15.18,55
4,1,143.71,144.78,14.21,55
0,1,144.78,146.13,14.14,55
3,1,146.13,146.41,13.86,55
2,1,146.41,147.41,13.25,55
0,0,147.41,114.02,11.77,55
3,1,114.02,114.45,11.46,55
1,1,114.45,114.45,11.46,55
1,1,114.45,114.45,11.46,55
5,1,114.45,117.09,9.69,55
4,1,117.09,117.53,9.28,55
0,0,117.53,104.79,8.82,55
0,0,117.53,104.79,8.82,55
0,0,104.79,100.96,8.19,55
0,0,100.96,100.18,8.05,55
3,1,100.18,100.25,7.99,55
2,1,100.25,108.27,7.16,55
2,1,108.27,110.69,6.51,55
2,1,110.69,110.82,6.46,55
1,1,110.82,110.83,6.46,55
0,1,110.83,111.37,6.46,55
3,1,111.37,112.84,5.8,55
0,1,112.84,112.84,5.8,55
5,1,112.84,114.15,5.14,55
2,1,114.15,114.95,4.93,55
1,1,114.95,114.95,4.93,55
2,1,114.95,114.96,4.92,55
5,1,114.96,115.12,4.8,55
2,1,115.12,115.17,4.78,55
1,1,115.17,115.31,4.76,55
0,1,115.31,115.31,4.76,55
1,1,115.31,115.61,4.73,55
1,1,115.61,115.61,4.73,55
3,0,115.61,115.48,4.73,55
2,1,115.48,115.48,4.73,55
2,1,115.48,115.48,4.73,55
0,1,115.48,116.54,4.7,55
0,0,116.54,114.52,4.6,56
0,0,116.54,114.52,4.6,56
0,1,114.52,114.85,4.59,56
1,1,114.85,115.29,4.45,56
2,1,115.29,115.71,4.24,56
1,1,115.71,116.12,4.13,56
1,1,116.12,116.4,4.05,56
1,1,116.4,116.66,3.97,56
1,1,116.66,117.11,3.87,56
0,1,117.11,117.25,3.86,56
