kills,win,prev_rating,new_rating,new_sigma,file_number
0,1,110.0,113.28,49.9,54
0,1,110.0,113.28,49.9,54
0,1,110.0,113.28,49.9,54
1,1,113.28,120.78,49.01,54
0,1,120.78,121.25,49.0,54
0,1,121.25,121.88,48.96,54
2,1,121.88,130.1,44.86,54
1,1,130.1,131.91,44.56,54
0,1,131.91,132.07,44.56,54
3,0,132.07,130.36,44.55,54
1,1,130.36,133.46,44.36,54
0,0,133.46,117.09,42.64,54
1,1,117.09,126.39,41.9,54
0,1,126.39,128.4,41.82,54
0,0,128.4,115.18,40.41,54
1,1,115.18,115.56,40.39,54
2,1,115.56,129.13,39.2,54
1,0,129.13,102.25,34.47,54
0,1,102.25,112.28,34.13,55
0,1,102.25,112.28,34.13,55
1,1,112.28,127.15,32.5,55
1,1,127.15,128.84,32.02,55
1,1,128.84,145.54,28.76,55
2,1,145.54,147.23,28.1,55
2,1,145.54,147.23,28.1,55
2,1,145.54,147.23,28.1,55
0,0,147.23,123.33,24.91,55
2,0,123.33,120.93,24.5,55
0,0,120.93,116.0,22.55,55
0,0,116.0,111.67,22.14,55
0,1,111.67,112.34,22.14,55
1,1,112.34,126.97,21.42,55
2,1,126.97,127.91,20.67,55
3,1,127.91,130.74,18.49,55
1,1,130.74,131.13,18.35,55
1,1,131.13,133.28,18.07,55
0,1,133.28,133.29,18.07,55
0,1,133.29,133.39,18.06,55
1,1,133.39,133.52,18.02,55
0,1,133.52,133.54,18.02,55
2,0,133.54,131.56,17.95,55
0,1,131.56,131.61,17.95,55
0,0,131.61,109.25,15.53,55
0,1,109.25,110.29,15.48,55
0,1,110.29,111.08,15.4,55
1,0,111.08,107.09,15.16,55
1,1,107.09,107.24,15.14,55
2,1,107.24,109.06,13.81,55
1,1,109.06,114.05,13.13,55
0,0,114.05,100.6,12.48,55
1,0,100.6,97.68,12.35,55
2,0,97.68,97.29,12.34,55
0,0,97.29,96.27,11.94,55
0,0,96.27,96.09,11.85,55
0,0,96.09,96.09,11.85,55
1,1,96.09,97.01,11.81,55
0,0,97.01,96.89,11.75,55
0,0,96.89,96.55,11.56,55
0,0,96.55,96.52,11.54,55
1,0,96.52,96.52,11.54,55
2,0,96.52,96.28,11.53,55
0,0,96.28,95.07,11.26,55
0,0,95.07,95.07,11.26,55
1,0,95.07,90.4,11.08,55
2,0,90.4,90.4,11.08,55
0,1,90.4,91.68,11.07,55
0,1,91.68,92.91,11.05,55
0,0,92.91,92.91,11.05,55
1,0,92.91,85.44,10.88,55
0,0,85.44,79.48,10.24,55
4,1,79.48,99.14,6.97,55
1,1,99.14,99.14,6.97,55
1,1,99.14,99.26,6.97,55
0,0,99.26,99.1,6.94,55
0,0,99.1,99.05,6.94,55
0,0,99.05,99.0,6.93,55
2,0,99.0,98.86,6.93,55
0,0,98.86,98.59,6.89,55
0,0,98.59,98.55,6.89,55
0,0,98.55,97.03,6.78,55
1,0,97.03,96.7,6.78,55
0,0,96.7,96.7,6.78,55
0,0,96.7,96.69,6.78,55
2,0,96.69,96.41,6.78,55
1,0,96.41,96.41,6.78,55
4,1,96.41,111.22,5.29,55
1,0,111.22,111.21,5.29,55
0,0,111.21,110.35,5.21,55
0,0,110.35,110.33,5.21,55
2,0,110.33,110.32,5.21,55
2,1,110.32,114.87,5.14,55
1,0,114.87,114.85,5.14,55
1,0,114.85,114.85,5.14,55
5,0,114.85,114.85,5.14,55
0,0,114.85,114.75,5.14,55
1,0,114.75,114.74,5.14,55
1,1,114.74,117.53,5.1,55
2,1,117.53,119.55,4.8,55
1,1,119.55,119.77,4.79,55
1,0,119.77,119.76,4.79,55
0,0,119.76,118.08,4.73,55
2,0,118.08,117.99,4.73,55
0,0,117.99,117.95,4.72,55
1,0,117.95,117.95,4.72,55
1,0,117.95,117.35,4.71,55
0,0,117.35,117.14,4.69,55
1,0,117.14,117.14,4.69,55
0,0,117.14,116.94,4.68,55
0,0,116.94,116.52,4.62,55
0,0,116.52,116.52,4.62,55
1,0,116.52,116.52,4.62,55
1,0,116.52,116.51,4.62,55
1,0,116.51,116.5,4.62,55
1,0,116.5,116.44,4.61,55
2,0,116.44,116.44,4.61,55
0,0,116.44,116.07,4.56,55
0,0,116.07,116.07,4.56,55
0,1,116.07,116.35,4.56,55
0,0,116.35,116.35,4.56,55
0,0,116.35,116.35,4.56,55
0,0,116.35,115.71,4.48,56
0,0,116.35,115.71,4.48,56
1,0,115.71,115.32,4.45,56
1,0,115.32,113.03,4.3,56
0,1,113.03,113.39,4.3,56
0,0,113.03,111.19,4.22,56
0,1,111.19,111.67,4.22,56
1,0,111.67,111.0,4.18,56
0,0,111.0,109.47,4.06,56
1,1,109.47,110.59,3.99,56
0,1,110.59,110.77,3.99,56
1,1,110.77,110.99,3.98,56
0,1,110.99,111.1,3.98,56
0,1,110.99,111.1,3.98,56
1,1,111.1,113.19,3.9,56
0,1,113.19,113.29,3.9,56
0,1,113.29,113.38,3.9,56
1,1,113.38,114.24,3.89,56
2,1,114.24,114.66,3.73,56
0,1,114.66,114.78,3.72,56
0,1,114.78,115.05,3.72,56
0,1,114.78,115.05,3.72,56
0,0,115.05,114.18,3.64,56
1,1,114.18,115.01,3.6,56
0,1,115.01,115.6,3.58,56
0,1,115.6,115.68,3.58,56
0,1,115.68,116.37,3.57,56
0,0,115.68,113.31,3.49,56
1,1,113.31,113.43,3.47,56
1,1,113.43,114.01,3.43,56
2,0,114.01,113.91,3.43,56
2,1,113.91,114.24,3.32,56
1,1,114.24,114.54,3.28,56
0,1,114.54,114.58,3.28,56
0,1,114.58,114.81,3.27,56
1,1,114.81,114.82,3.27,56
3,0,114.82,114.72,3.27,56
0,1,114.72,114.75,3.28,56
3,1,114.75,114.78,3.25,56
1,1,114.78,115.11,3.24,56
1,0,114.78,114.6,3.25,56
0,0,114.6,113.58,3.19,56
1,0,113.58,113.52,3.19,56
0,0,113.52,111.59,3.11,56
1,0,111.59,111.46,3.1,56
0,0,111.46,110.56,3.07,56
0,1,110.56,110.63,3.07,56
1,1,110.63,111.32,3.04,56
0,0,111.32,110.67,2.98,56
0,1,110.67,110.86,2.98,56
0,1,110.67,110.86,2.98,56
0,1,110.67,110.86,2.98,56
1,1,110.86,111.08,2.98,56
2,1,111.08,112.0,2.86,56
1,0,112.0,111.55,2.85,56
1,0,111.55,111.34,2.85,56
0,0,111.34,110.19,2.79,56
0,1,110.19,110.2,2.79,56
1,1,110.2,110.25,2.79,56
2,1,110.25,110.62,2.77,56
1,1,110.62,110.63,2.77,56
3,1,110.63,110.68,2.76,56
0,1,110.68,110.69,2.76,56
0,1,110.69,110.73,2.76,56
0,0,110.69,110.43,2.75,56
2,1,110.43,110.66,2.72,56
0,0,110.66,109.59,2.68,56
0,0,109.59,108.77,2.65,56
1,0,108.77,108.61,2.64,56
3,1,108.61,109.54,2.49,56
0,0,109.54,109.34,2.49,56
0,0,109.34,109.23,2.48,56
1,1,109.23,109.9,2.48,56
0,1,109.9,110.0,2.48,56
0,0,110.0,109.36,2.45,56
0,0,109.36,108.94,2.44,56
0,0,108.94,108.78,2.43,56
1,0,108.78,108.76,2.43,56
0,1,108.76,108.78,2.44,56
0,1,108.78,108.84,2.44,56
0,1,108.84,108.88,2.44,56
0,0,108.88,107.66,2.31,57
1,1,107.66,108.2,2.25,57
1,1,108.2,108.58,2.2,57
0,0,108.58,107.67,2.12,57
0,0,107.67,107.03,2.06,57
0,0,107.03,106.54,2.0,57
1,1,106.54,107.19,1.94,57
0,0,107.19,106.72,1.89,57
1,1,106.72,107.28,1.84,57
1,1,107.28,107.73,1.79,57
1,1,107.73,108.1,1.75,57
0,0,108.1,107.58,1.71,57
1,1,107.58,107.94,1.67,57
0,1,107.94,108.09,1.67,57
0,0,107.94,107.51,1.64,57
1,1,107.51,107.81,1.61,57
1,1,107.81,108.08,1.58,57
1,1,108.08,108.31,1.56,57
1,1,108.31,108.51,1.53,57
2,1,108.51,109.16,1.49,57
1,0,109.16,109.13,1.49,57
2,1,109.13,109.39,1.46,57
1,0,109.39,109.35,1.46,57
1,0,109.35,109.33,1.46,57
1,1,109.33,109.67,1.45,57
1,1,109.67,109.97,1.44,57
2,1,109.97,110.03,1.43,57
2,0,109.97,109.97,1.44,57
0,0,109.97,109.6,1.42,57
0,1,109.6,109.72,1.42,57
2,1,109.72,109.86,1.41,57
1,1,109.86,109.9,1.41,57
1,0,109.9,109.87,1.41,57
0,0,109.87,109.51,1.39,57
0,1,109.51,109.61,1.39,57
0,1,109.61,109.7,1.4,57
1,1,109.7,109.9,1.39,57
0,0,109.9,109.63,1.37,57
1,1,109.63,109.87,1.36,57
0,1,109.87,109.95,1.36,57
0,0,109.87,109.66,1.35,57
0,0,109.66,109.48,1.35,57
1,0,109.48,109.41,1.35,57
1,0,109.41,109.36,1.35,57
1,0,109.36,109.3,1.35,57
0,0,109.3,109.16,1.34,57
0,0,109.16,108.99,1.33,57
1,1,108.99,109.27,1.33,57
1,0,109.27,109.21,1.33,57
1,1,109.21,109.3,1.33,57
1,1,109.21,109.3,1.33,57
1,1,109.21,109.3,1.33,57
1,1,109.3,109.5,1.33,57
0,0,109.5,109.39,1.32,57
0,1,109.39,109.43,1.33,57
0,0,109.39,109.2,1.32,57
1,0,109.2,109.18,1.32,57
0,1,109.18,109.24,1.33,57
0,1,109.24,109.33,1.33,57
2,1,109.33,109.53,1.32,57
2,1,109.53,109.71,1.3,57
0,0,109.71,109.55,1.29,57
0,0,109.55,109.42,1.29,57
3,1,109.42,109.54,1.28,57
1,1,109.54,109.75,1.27,57
2,1,109.75,109.77,1.27,57
2,1,109.77,109.79,1.27,57
3,1,109.79,109.81,1.27,57
2,1,109.81,109.84,1.26,57
1,1,109.84,109.98,1.26,57
1,1,109.98,110.06,1.26,57
0,0,110.06,109.71,1.25,57
0,1,109.71,109.73,1.25,57
1,1,109.73,109.87,1.25,57
0,0,109.87,109.44,1.24,57
1,1,109.44,109.53,1.24,57
1,1,109.53,109.62,1.24,57
2,1,109.62,109.86,1.23,57
1,1,109.86,110.03,1.23,57
1,1,110.03,110.29,1.23,57
0,1,110.29,110.3,1.23,57
0,0,110.29,110.23,1.23,57
0,0,110.23,110.04,1.22,57
0,0,110.04,109.96,1.22,57
0,0,109.96,109.86,1.22,57
2,0,109.86,109.85,1.22,57
0,0,109.85,109.56,1.22,57
1,0,109.56,109.55,1.22,57
2,0,109.55,109.55,1.23,57
0,0,109.55,109.46,1.23,57
1,0,109.46,109.44,1.23,57
2,0,109.44,109.44,1.23,57
0,1,109.44,109.45,1.23,57
0,0,109.45,109.38,1.23,57
0,0,109.38,109.33,1.24,57
2,0,109.33,109.32,1.24,57
1,1,109.32,109.35,1.24,57
0,0,109.35,109.32,1.24,57
0,0,109.32,109.19,1.24,59
0,1,109.19,109.22,1.25,59
1,1,109.22,109.27,1.25,59
1,0,109.27,109.25,1.25,59
0,1,109.25,109.25,1.25,59
0,1,109.25,109.25,1.25,59
0,1,109.25,109.26,1.26,59
0,1,109.26,109.26,1.26,59
0,1,109.26,109.26,1.26,59
1,0,109.26,109.18,1.26,59
1,0,109.26,109.18,1.26,59
0,0,109.18,108.89,1.26,59
3,0,108.89,108.88,1.27,59
0,0,108.88,108.78,1.27,59
1,1,108.78,108.78,1.27,59
0,0,108.78,108.76,1.27,59
0,0,108.76,108.74,1.27,59
2,0,108.74,108.73,1.28,59
0,0,108.73,108.73,1.28,59
2,1,108.73,108.81,1.28,59
4,1,108.81,108.85,1.27,59
1,1,108.85,108.87,1.27,59
0,0,108.87,108.53,1.27,59
1,1,108.53,108.54,1.27,59
1,0,108.53,108.52,1.27,59
0,0,108.52,108.25,1.27,59
2,1,108.25,108.26,1.27,59
1,1,108.26,108.33,1.27,59
1,0,108.33,108.27,1.27,59
0,1,108.27,108.27,1.28,59
0,1,108.27,108.28,1.28,59
0,0,108.28,108.24,1.28,59
0,0,108.24,108.09,1.28,59
2,1,108.09,108.15,1.28,59
2,1,108.15,108.15,1.28,59
2,1,108.15,108.18,1.28,59
2,1,108.15,108.18,1.28,59
2,1,108.15,108.18,1.28,59
0,1,108.18,108.19,1.28,59
2,1,108.19,108.2,1.28,59
0,0,108.2,108.11,1.28,59
1,1,108.11,108.11,1.29,59
2,1,108.11,108.15,1.29,59
0,1,108.15,108.26,1.29,59
0,1,108.26,108.28,1.29,59
2,1,108.28,108.29,1.29,59
1,0,108.29,108.27,1.3,59
1,1,108.27,108.29,1.3,59
1,0,108.27,108.26,1.3,59
2,1,108.26,108.33,1.3,59
0,1,108.33,108.33,1.3,59
1,0,108.33,108.22,1.3,59
3,1,108.22,108.3,1.3,59
2,1,108.3,108.31,1.3,60
0,0,108.31,108.05,1.3,60
1,1,108.05,108.1,1.3,60
0,1,108.1,108.11,1.3,60
6,1,108.11,108.13,1.3,60
2,1,108.13,108.15,1.3,60
1,1,108.15,108.16,1.3,60
0,0,108.16,107.91,1.3,60
1,1,107.91,107.95,1.3,60
0,0,107.95,107.84,1.3,60
0,0,107.84,107.81,1.3,60
0,1,107.81,107.81,1.3,60
1,1,107.81,107.82,1.31,60
1,1,107.82,107.84,1.31,60
0,1,107.84,107.86,1.31,60
0,1,107.86,107.86,1.31,60
2,1,107.86,107.93,1.31,60
1,0,107.93,107.92,1.31,60
0,0,107.92,107.84,1.31,62
0,0,107.92,107.84,1.31,62
0,0,107.92,107.84,1.31,62
0,0,107.84,107.74,1.31,62
0,0,107.74,107.63,1.31,62
0,0,107.74,107.63,1.31,62
0,0,107.74,107.63,1.31,62
0,0,107.63,107.59,1.31,62
0,0,107.63,107.59,1.31,62
0,1,107.59,107.62,1.31,62
0,1,107.62,107.62,1.32,62
0,0,107.62,107.6,1.32,62
0,1,107.6,107.62,1.32,62
0,1,107.62,107.64,1.32,62
0,1,107.64,107.67,1.32,62
0,0,107.64,107.52,1.32,62
0,0,107.52,107.26,1.32,62
0,0,107.26,107.19,1.32,62
2,1,107.19,107.23,1.32,62
2,1,107.23,107.24,1.32,62
0,1,107.24,107.24,1.32,62
0,1,107.24,107.25,1.33,62
0,1,107.25,107.25,1.33,62
0,0,107.25,107.14,1.33,62
2,0,107.14,107.14,1.33,62
1,1,107.14,107.18,1.33,62
5,1,107.18,107.19,1.33,62
2,1,107.19,107.2,1.34,62
1,0,107.2,107.0,1.34,62
1,0,107.0,107.0,1.34,62
1,1,107.0,107.01,1.34,62
1,1,107.01,107.01,1.34,62
2,1,107.01,107.04,1.34,62
0,1,107.04,107.04,1.35,62
1,1,107.04,107.05,1.35,62
2,1,107.05,107.17,1.34,62
3,1,107.17,107.19,1.34,62
3,0,107.17,107.17,1.35,62
3,1,107.17,107.17,1.35,62
1,1,107.17,107.21,1.35,62
0,1,107.21,107.22,1.35,62
1,1,107.22,107.31,1.35,62
3,1,107.31,107.42,1.34,62
1,0,107.42,107.39,1.34,62
2,1,107.39,107.51,1.33,62
2,1,107.51,107.56,1.33,62
0,0,107.56,107.42,1.33,62
0,1,107.42,107.43,1.33,62
0,1,107.43,107.43,1.33,62
1,1,107.43,107.48,1.33,62
1,1,107.48,107.65,1.33,62
2,1,107.65,107.69,1.33,62
1,1,107.69,107.82,1.33,62
0,1,107.82,107.87,1.33,62
0,0,107.87,107.74,1.33,63
0,0,107.87,107.74,1.33,63
0,0,107.87,107.74,1.33,63
1,0,107.74,107.72,1.33,63
0,0,107.72,107.67,1.33,63
3,1,107.67,107.79,1.32,63
1,1,107.79,107.93,1.32,63
0,0,107.93,107.69,1.32,63
