kills,win,prev_rating,new_rating,new_sigma,file_number
1,1,110.0,118.91,49.28,54
1,1,110.0,118.91,49.28,54
2,1,118.91,138.81,42.48,54
0,1,138.81,139.15,42.48,54
0,1,139.15,139.63,42.46,54
1,1,139.63,141.91,42.11,54
1,1,141.91,143.5,41.86,54
0,1,143.5,143.64,41.86,54
0,0,143.64,113.29,39.41,54
1,1,113.29,115.72,39.27,54
2,0,115.72,113.98,39.25,54
2,1,113.98,135.4,34.76,54
0,1,135.4,136.78,34.71,54
0,0,136.78,127.68,33.91,54
1,1,127.68,127.95,33.9,54
0,1,127.95,129.24,33.88,54
0,1,129.24,130.14,33.83,55
0,1,129.24,130.14,33.83,55
0,1,129.24,130.14,33.83,55
0,1,129.24,130.14,33.83,55
0,1,129.24,130.14,33.83,55
1,1,130.14,137.73,30.02,55
0,1,137.73,137.73,30.02,55
1,1,137.73,176.12,25.08,55
1,1,176.12,176.13,25.07,55
0,0,176.13,146.61,23.64,55
0,0,176.13,146.61,23.64,55
0,0,176.13,146.61,23.64,55
0,0,146.61,132.17,22.15,55
0,0,146.61,132.17,22.15,55
0,0,146.61,132.17,22.15,55
2,1,132.17,132.17,22.15,55
0,1,132.17,143.24,21.96,55
2,0,143.24,139.96,21.86,55
1,1,139.96,144.42,21.8,55
1,1,144.42,144.46,21.79,55
3,1,144.46,152.8,17.3,55
0,0,152.8,151.86,16.85,55
0,0,151.86,151.52,16.79,55
1,0,151.52,151.41,16.78,55
2,0,151.41,150.61,16.77,55
0,0,150.61,149.03,16.23,55
0,0,149.03,148.79,16.16,55
0,0,148.79,140.42,14.76,55
1,0,140.42,138.87,14.68,55
1,0,140.42,138.87,14.68,55
1,0,140.42,138.87,14.68,55
0,0,138.87,138.87,14.68,55
0,0,138.87,138.81,14.66,55
0,0,138.81,129.35,13.67,55
0,0,138.81,129.35,13.67,55
0,0,138.81,129.35,13.67,55
1,0,129.35,129.35,13.67,55
0,1,129.35,130.45,13.67,55
0,0,130.45,130.3,13.65,55
0,0,130.45,130.3,13.65,55
0,0,130.45,130.3,13.65,55
3,0,130.3,130.02,13.64,55
0,0,130.02,129.92,13.61,55
1,0,129.92,129.59,13.54,55
0,1,129.59,133.75,13.52,55
0,0,133.75,133.48,13.41,55
0,1,133.48,135.17,13.16,57
0,1,135.17,136.43,12.83,57
0,1,135.17,136.43,12.83,57
0,0,136.43,117.54,11.08,57
0,0,136.43,117.54,11.08,57
0,1,117.54,118.56,11.06,57
0,0,117.54,107.44,8.74,57
0,0,107.44,104.79,7.78,57
1,0,104.79,104.07,7.67,57
1,0,104.07,103.36,7.58,57
0,0,103.36,101.55,7.15,57
0,0,101.55,100.36,6.79,57
0,0,100.36,99.42,6.5,57
0,0,99.42,98.34,6.17,57
0,0,98.34,97.86,6.1,57
0,0,98.34,97.86,6.1,57
0,0,98.34,97.86,6.1,57
0,0,97.86,97.55,6.0,57
2,1,97.55,105.7,4.5,57
0,0,105.7,105.05,4.38,57
1,0,105.05,104.94,4.36,57
0,1,104.94,105.27,4.35,57
0,0,105.27,102.63,4.18,57
0,0,105.27,102.63,4.18,57
1,1,102.63,103.42,4.1,57
0,1,103.42,103.84,4.09,57
0,0,103.42,101.59,3.96,57
0,1,101.59,101.73,3.95,57
0,0,101.73,100.31,3.87,57
0,0,101.73,100.31,3.87,57
0,0,101.73,100.31,3.87,57
1,0,100.31,99.13,3.83,57
1,0,99.13,98.45,3.77,57
0,1,98.45,99.14,3.76,58
0,1,98.45,99.14,3.76,58
0,1,99.14,99.4,3.76,58
0,1,99.14,99.4,3.76,58
0,1,99.4,99.69,3.75,58
0,1,99.4,99.69,3.75,58
0,1,99.4,99.69,3.75,58
0,1,99.69,99.92,3.75,58
0,0,99.69,98.67,3.63,58
1,0,98.67,98.22,3.61,58
0,0,98.22,97.63,3.56,58
1,1,97.63,97.73,3.56,58
0,1,97.73,98.09,3.55,58
3,1,98.09,100.66,3.08,58
0,0,100.66,99.59,3.02,58
1,0,99.59,99.16,3.02,58
1,0,99.59,99.16,3.02,58
1,0,99.59,99.16,3.02,58
0,0,99.16,98.47,2.98,58
0,0,98.47,97.98,2.94,58
0,0,97.98,97.34,2.92,58
0,0,97.34,96.94,2.9,58
1,0,96.94,96.82,2.89,58
3,1,96.82,98.91,2.62,58
0,1,98.91,98.92,2.62,58
2,1,98.92,99.06,2.61,58
2,1,99.06,99.09,2.61,58
1,1,99.09,99.13,2.61,58
0,1,99.13,99.17,2.61,58
0,0,99.13,99.02,2.61,58
0,1,99.02,99.02,2.61,58
0,1,99.02,99.02,2.61,58
0,1,99.02,99.02,2.61,58
2,1,99.02,99.07,2.6,58
0,1,99.07,99.07,2.6,58
2,1,99.07,99.11,2.6,58
0,1,99.11,99.11,2.6,58
0,1,99.11,99.19,2.6,62
0,1,99.11,99.19,2.6,62
0,1,99.11,99.19,2.6,62
0,1,99.19,99.24,2.6,62
0,1,99.24,99.29,2.6,62
0,0,99.29,98.82,2.59,62
0,0,99.29,98.82,2.59,62
3,0,98.82,98.82,2.59,62
0,0,98.82,98.67,2.58,62
0,1,98.67,98.8,2.58,62
1,1,98.8,98.83,2.58,62
1,0,98.8,98.78,2.58,62
0,1,98.78,98.83,2.58,62
2,1,98.83,99.53,2.51,62
3,1,99.53,101.21,2.3,62
1,1,101.21,101.82,2.29,62
1,1,101.82,101.91,2.29,62
0,0,101.91,101.85,2.28,62
2,0,101.85,101.84,2.28,62
0,0,101.84,101.84,2.28,62
0,0,101.84,101.73,2.28,62
0,0,101.73,101.63,2.27,62
0,1,101.63,101.71,2.28,62
0,1,101.63,101.71,2.28,62
0,1,101.63,101.71,2.28,62
2,1,101.71,101.79,2.27,62
1,0,101.79,101.68,2.27,62
1,0,101.68,101.68,2.28,62
0,0,101.68,101.66,2.27,62
0,1,101.66,101.88,2.27,62
1,1,101.88,101.91,2.27,62
1,0,101.91,101.89,2.28,62
0,0,101.89,101.88,2.28,62
0,0,101.88,101.82,2.27,62
1,0,101.82,101.82,2.27,62
0,0,101.82,101.8,2.27,62
0,0,101.8,101.58,2.26,62
0,1,101.58,101.58,2.26,62
0,0,101.58,101.56,2.26,62
1,0,101.56,101.56,2.26,62
0,0,101.56,101.32,2.23,62
0,0,101.32,101.09,2.22,62
0,0,101.09,100.77,2.2,62
0,0,100.77,100.64,2.19,62
0,1,100.64,100.67,2.19,62
3,0,100.67,100.66,2.2,62
0,0,100.66,100.58,2.19,62
4,1,100.58,101.63,2.05,62
0,0,101.63,101.44,2.04,62
1,0,101.44,101.42,2.04,62
1,0,101.44,101.42,2.04,62
0,0,101.42,101.23,2.02,62
0,0,101.23,100.81,2.01,62
0,0,100.81,100.74,2.0,62
1,0,100.74,100.52,2.0,62
0,0,100.52,100.03,1.98,62
1,1,100.03,100.04,1.97,66
1,1,100.04,100.05,1.97,66
1,1,100.05,100.06,1.97,66
0,0,100.06,98.24,1.88,66
0,0,98.24,97.97,1.83,66
1,0,97.97,96.84,1.75,66
0,0,96.84,96.58,1.71,66
0,0,96.58,96.34,1.67,66
0,0,96.34,96.12,1.64,66
0,0,96.12,96.12,1.64,66
0,0,96.12,96.12,1.64,66
1,0,96.12,96.11,1.64,66
2,1,96.11,97.07,1.59,66
0,0,97.07,97.03,1.59,66
1,1,97.03,97.12,1.58,66
2,1,97.12,97.25,1.57,66
0,1,97.25,97.27,1.57,66
3,1,97.27,97.42,1.54,66
2,1,97.42,97.54,1.53,66
0,1,97.54,97.56,1.53,66
0,1,97.56,97.6,1.53,66
1,1,97.6,97.66,1.53,66
0,1,97.66,97.7,1.53,66
2,1,97.7,97.78,1.52,66
0,1,97.78,97.79,1.52,66
1,1,97.79,97.9,1.52,66
1,0,97.79,97.72,1.52,66
1,1,97.72,97.89,1.52,66
0,0,97.89,97.8,1.52,66
3,1,97.8,97.9,1.5,66
0,1,97.9,97.91,1.51,66
1,1,97.91,98.03,1.51,66
2,1,98.03,98.21,1.49,66
1,1,98.21,98.25,1.49,66
2,1,98.25,98.44,1.46,66
0,0,98.44,98.14,1.45,66
1,1,98.14,98.2,1.45,66
0,0,98.2,97.9,1.45,66
0,0,97.9,97.71,1.45,66
0,1,97.71,97.73,1.45,66
0,0,97.73,97.38,1.43,66
0,1,97.38,97.4,1.43,66
1,1,97.4,97.47,1.43,66
1,1,97.47,97.5,1.44,66
2,1,97.5,97.66,1.42,66
2,1,97.66,97.73,1.41,66
0,1,97.73,97.77,1.42,66
0,1,97.77,97.8,1.42,66
1,1,97.8,97.99,1.41,66
1,0,97.99,97.9,1.41,66
0,1,97.9,97.93,1.41,66
0,0,97.9,97.75,1.41,66
1,0,97.75,97.72,1.41,66
0,0,97.72,97.66,1.41,66
3,0,97.66,97.66,1.41,66
1,1,97.66,97.7,1.42,66
0,0,97.7,97.58,1.41,66
0,0,97.58,97.49,1.41,66
3,1,97.49,98.0,1.37,66
0,0,98.0,97.96,1.37,66
0,0,97.96,97.86,1.37,66
0,0,97.86,97.75,1.37,66
2,1,97.75,98.06,1.35,66
0,0,98.06,98.04,1.35,66
1,0,98.04,98.01,1.35,66
2,0,98.01,98.0,1.36,66
1,1,98.0,98.13,1.36,66
0,1,98.13,98.17,1.36,66
0,1,98.17,98.19,1.36,66
1,0,98.19,98.15,1.36,66
0,0,98.15,98.1,1.36,66
1,1,98.1,98.3,1.36,66
2,1,98.3,98.59,1.35,66
2,0,98.59,98.58,1.35,66
