kills,win,prev_rating,new_rating,new_sigma,file_number
0,1,110.0,113.28,49.9,54
0,1,110.0,113.28,49.9,54
0,1,113.28,116.04,49.78,54
0,1,113.28,116.04,49.78,54
0,0,113.28,107.59,49.39,54
0,0,113.28,107.59,49.39,54
0,0,113.28,107.59,49.39,54
0,1,107.59,108.05,49.39,54
0,1,108.05,108.7,49.35,54
0,1,108.7,109.83,49.27,54
0,1,109.83,110.64,49.22,54
0,1,110.64,110.83,49.22,54
0,0,110.83,68.87,45.18,54
0,1,68.87,70.05,45.15,54
0,0,70.05,53.08,43.34,54
1,1,53.08,62.69,42.57,54
1,1,62.69,68.33,41.95,54
0,0,68.33,55.04,40.52,54
0,1,55.04,55.18,40.52,54
2,1,55.18,68.83,39.32,54
1,0,68.83,41.79,34.54,54
0,0,41.79,40.7,33.65,55
1,1,40.7,105.43,23.95,55
0,0,105.43,86.81,19.17,55
1,1,86.81,105.22,15.15,55
1,1,105.22,109.86,13.34,55
1,1,109.86,111.93,12.32,55
1,1,111.93,113.12,11.66,55
0,0,113.12,96.22,9.13,55
1,1,96.22,102.06,7.7,55
1,1,102.06,104.25,6.94,55
0,0,104.25,98.05,5.37,55
0,0,98.05,95.56,4.72,55
0,0,95.56,94.31,4.33,55
0,0,94.31,94.07,4.2,55
0,0,94.07,93.38,3.96,55
0,0,93.38,93.25,3.89,55
1,0,93.25,93.13,3.82,55
2,1,93.13,97.95,3.28,55
1,0,97.95,97.54,3.14,55
0,0,97.54,97.22,3.03,55
2,1,97.22,99.45,2.75,55
2,1,99.45,100.8,2.56,55
0,0,100.8,99.47,2.41,55
1,0,99.47,98.58,2.29,55
0,0,98.58,98.35,2.24,55
1,0,98.35,98.16,2.19,55
0,0,98.16,97.63,2.11,55
0,0,97.63,97.22,2.05,55
0,0,97.22,97.03,2.05,55
0,0,97.03,96.94,2.04,55
0,0,96.94,96.92,2.04,55
0,0,96.92,96.87,2.04,55
1,0,96.87,96.86,2.04,55
0,0,96.86,96.82,2.04,55
0,0,96.82,96.81,2.04,55
1,1,96.81,97.53,2.03,55
1,1,97.53,98.01,2.01,55
0,1,98.01,98.19,2.01,55
0,1,98.19,98.21,2.01,55
0,0,98.21,98.13,2.01,55
1,0,98.13,98.12,2.01,55
0,0,98.12,98.01,2.01,55
0,0,98.01,97.98,2.01,55
1,1,97.98,98.07,2.01,55
0,1,98.07,98.09,2.01,55
0,1,98.09,98.1,2.01,55
1,1,98.1,98.16,2.01,55
0,1,98.16,98.16,2.02,55
0,0,98.16,98.04,2.02,55
1,0,98.04,98.0,2.02,55
2,0,98.0,97.99,2.02,55
0,0,97.99,97.96,2.02,55
0,1,97.96,97.96,2.02,55
0,1,97.96,98.01,2.02,55
1,1,98.01,98.01,2.03,55
1,1,98.01,98.02,2.03,55
0,1,98.02,98.02,2.03,55
1,1,98.02,98.04,2.03,55
0,1,98.04,98.04,2.03,55
0,1,98.04,98.04,2.03,55
0,1,98.04,98.05,2.04,55
1,1,98.05,98.05,2.04,55
0,0,98.05,97.86,2.03,55
0,1,97.86,97.86,2.03,55
3,0,97.86,97.85,2.04,55
0,1,97.85,97.86,2.04,55
0,1,97.86,97.88,2.04,55
0,0,97.88,97.69,2.04,55
0,1,97.69,97.69,2.04,55
1,1,97.69,97.7,2.04,55
1,1,97.7,97.81,2.04,55
0,0,97.81,97.48,2.04,55
0,0,97.81,97.48,2.04,55
1,0,97.48,97.41,2.04,55
0,0,97.41,97.33,2.04,55
0,0,97.33,97.3,2.04,55
0,0,97.3,97.29,2.04,55
1,0,97.29,97.29,2.04,55
1,1,97.29,97.32,2.04,55
0,0,97.32,97.32,2.04,55
0,0,97.32,97.31,2.05,55
0,0,97.31,97.31,2.05,55
0,0,97.31,97.31,2.05,55
0,0,97.31,97.25,2.05,55
1,0,97.25,97.24,2.05,55
0,0,97.24,97.24,2.05,55
1,0,97.24,97.08,2.05,55
0,0,97.08,97.08,2.05,55
1,1,97.08,97.2,2.05,55
1,1,97.2,97.32,2.05,55
0,0,97.32,97.32,2.06,55
1,0,97.32,97.06,2.06,55
0,0,97.06,96.84,2.05,55
0,1,96.84,96.86,2.06,55
0,1,96.86,96.86,2.06,55
1,1,96.86,96.87,2.06,55
0,0,96.87,96.85,2.06,55
0,0,96.85,96.85,2.06,55
1,0,96.85,96.85,2.06,55
0,0,96.85,96.76,2.06,55
0,0,96.76,96.73,2.06,55
1,0,96.73,96.73,2.07,55
0,0,96.73,96.6,2.07,55
1,0,96.6,96.56,2.07,55
1,0,96.6,96.56,2.07,55
0,0,96.56,96.56,2.07,55
0,0,96.56,96.56,2.07,55
1,0,96.56,96.49,2.07,55
0,0,96.49,96.49,2.07,55
0,1,96.49,96.52,2.07,55
2,0,96.52,96.52,2.08,55
0,0,96.52,96.39,2.07,55
1,0,96.39,96.39,2.08,55
0,0,96.39,96.36,2.08,55
0,1,96.36,96.46,2.08,55
0,0,96.46,96.46,2.08,55
0,0,96.46,96.46,2.08,55
0,0,96.46,96.46,2.08,55
0,0,96.46,96.44,2.08,55
1,0,96.44,96.44,2.08,55
0,1,96.44,96.61,2.09,55
0,1,96.44,96.61,2.09,55
0,1,96.44,96.61,2.09,55
0,1,96.61,96.65,2.09,55
1,1,96.65,96.69,2.09,55
0,0,96.69,96.69,2.09,55
0,0,96.69,96.37,2.09,55
0,0,96.37,96.25,2.08,55
0,0,96.25,96.24,2.08,55
1,0,96.24,96.24,2.08,55
0,0,96.24,95.93,2.08,55
0,0,95.93,95.88,2.08,55
1,0,95.88,95.88,2.08,55
0,0,95.88,95.84,2.08,55
0,0,95.84,95.76,2.08,55
1,0,95.76,95.76,2.08,55
0,0,95.76,95.76,2.08,55
0,0,95.76,95.75,2.08,55
0,0,95.75,95.75,2.08,55
0,0,95.75,95.72,2.08,55
2,0,95.72,95.72,2.08,55
0,0,95.72,95.64,2.08,55
0,0,95.64,95.64,2.08,55
0,1,95.64,95.7,2.08,55
0,0,95.7,95.7,2.08,55
0,0,95.7,95.7,2.09,55
0,0,95.7,95.56,2.06,56
0,0,95.56,95.45,2.04,56
0,0,95.45,95.07,2.04,56
0,1,95.07,95.1,2.04,56
0,1,95.1,95.18,2.04,56
1,1,95.18,96.07,1.99,56
1,1,96.07,96.74,1.95,56
1,1,96.74,97.26,1.91,56
0,1,97.26,97.27,1.91,56
0,1,97.27,97.28,1.91,56
0,1,97.28,97.28,1.91,56
0,0,97.28,97.28,1.91,56
0,1,97.28,97.89,1.91,56
0,0,97.89,97.88,1.91,56
0,1,97.88,97.89,1.91,56
0,0,97.88,97.87,1.91,56
0,0,97.87,97.87,1.91,56
0,0,97.87,97.86,1.91,56
0,0,97.86,97.86,1.91,56
1,1,97.86,99.38,1.87,56
1,1,99.38,100.5,1.83,56
1,1,100.5,101.37,1.79,56
0,1,101.37,101.54,1.79,56
1,1,101.54,102.16,1.75,56
1,1,102.16,102.68,1.72,56
1,1,102.68,103.11,1.69,56
0,1,103.11,103.19,1.69,56
0,1,103.19,103.27,1.69,56
0,0,103.19,102.87,1.68,56
1,1,102.87,103.23,1.65,56
0,1,103.23,103.3,1.65,56
0,0,103.3,103.0,1.64,56
0,1,103.0,103.07,1.64,56
0,0,103.07,102.79,1.63,56
1,1,102.79,103.14,1.6,56
0,1,103.14,103.21,1.6,56
0,1,103.21,103.27,1.6,56
0,0,103.27,102.98,1.59,56
0,0,102.98,102.72,1.58,56
0,0,102.72,102.49,1.57,56
0,1,102.49,102.49,1.57,56
0,0,102.49,102.46,1.57,56
0,0,102.49,102.46,1.57,56
1,1,102.46,102.77,1.56,56
0,0,102.77,102.52,1.54,56
2,1,102.52,103.14,1.5,56
0,0,103.14,102.91,1.49,56
2,1,102.91,103.57,1.45,56
1,0,103.57,103.5,1.45,56
0,0,103.5,103.29,1.44,56
0,0,103.29,103.1,1.43,56
0,0,103.1,102.96,1.42,56
0,0,102.96,102.78,1.41,56
0,0,102.78,102.62,1.4,56
0,1,102.62,102.68,1.4,56
0,0,102.62,102.46,1.4,56
0,0,102.46,102.36,1.39,56
0,0,102.36,102.22,1.38,56
1,0,102.22,102.18,1.38,56
0,0,102.18,102.09,1.38,56
2,1,102.09,102.67,1.35,56
0,1,102.67,102.82,1.35,56
0,0,102.82,102.79,1.35,56
0,0,102.79,102.7,1.35,56
2,1,102.7,103.21,1.32,56
1,1,103.21,103.48,1.32,56
0,1,103.48,103.57,1.32,56
1,1,103.57,103.8,1.32,56
1,0,103.57,103.47,1.32,56
1,0,103.47,103.46,1.32,56
0,0,103.46,103.37,1.32,56
0,0,103.37,103.3,1.32,56
0,0,103.3,103.23,1.32,56
0,1,103.23,103.31,1.32,56
0,1,103.31,103.39,1.32,56
0,0,103.39,103.32,1.32,56
1,0,103.32,103.28,1.32,56
0,1,103.28,103.36,1.33,56
1,1,103.36,103.67,1.32,56
0,1,103.67,103.73,1.32,56
0,1,103.73,103.77,1.32,56
0,0,103.73,103.58,1.32,56
0,1,103.58,103.66,1.32,56
0,0,103.66,103.54,1.32,56
0,0,103.54,103.42,1.32,56
0,1,103.42,103.49,1.32,56
0,0,103.49,103.41,1.32,56
0,0,103.41,103.29,1.31,56
1,0,103.29,103.26,1.31,56
0,0,103.26,103.15,1.31,56
0,1,103.15,103.22,1.31,56
0,0,103.22,103.1,1.31,56
1,0,103.1,103.08,1.31,56
0,1,103.08,103.09,1.32,56
0,0,103.08,103.0,1.31,56
0,0,103.0,102.9,1.31,56
0,0,102.9,102.84,1.31,56
0,1,102.84,102.93,1.31,56
1,1,102.93,103.21,1.3,56
1,0,103.21,103.18,1.3,56
0,0,103.18,103.03,1.3,56
0,0,103.03,102.93,1.3,56
0,0,102.93,102.83,1.3,56
0,0,102.83,102.7,1.29,56
0,0,102.7,102.57,1.29,56
0,0,102.57,102.51,1.29,56
1,1,102.51,102.59,1.29,56
1,0,102.51,102.47,1.29,56
0,1,102.47,102.53,1.29,56
1,1,102.53,102.81,1.29,56
1,1,102.81,103.05,1.28,56
0,0,103.05,102.94,1.28,56
2,1,102.94,103.35,1.26,56
0,0,103.35,103.27,1.26,56
0,1,103.27,103.34,1.26,56
1,1,103.34,103.52,1.26,56
0,1,103.52,103.59,1.26,56
0,0,103.59,103.44,1.26,56
2,1,103.44,103.62,1.25,56
0,1,103.62,103.63,1.25,56
0,1,103.63,103.64,1.25,56
0,1,103.64,103.65,1.25,56
0,1,103.65,103.66,1.26,56
0,1,103.66,103.67,1.26,56
1,1,103.67,103.72,1.26,56
0,1,103.72,103.73,1.26,56
1,1,103.73,103.79,1.26,56
1,1,103.79,103.86,1.26,56
0,1,103.86,103.88,1.26,56
1,1,103.88,103.93,1.26,56
1,1,103.93,104.1,1.26,56
0,1,104.1,104.13,1.26,56
0,0,104.1,103.94,1.26,56
0,0,103.94,103.78,1.26,56
2,1,103.78,104.01,1.25,56
0,1,104.01,104.06,1.25,56
0,0,104.06,103.91,1.25,56
1,0,103.91,103.8,1.25,56
0,0,103.8,103.74,1.25,56
1,0,103.74,103.71,1.25,56
0,0,103.71,103.44,1.25,56
0,0,103.44,103.38,1.25,56
0,0,103.38,103.32,1.25,56
0,0,103.32,102.94,1.24,56
0,0,102.94,102.9,1.24,56
0,0,102.9,102.84,1.24,56
0,1,102.84,102.87,1.24,56
0,0,102.87,102.78,1.24,56
0,1,102.78,102.81,1.25,56
1,1,102.81,103.0,1.24,56
1,1,103.0,103.03,1.25,56
0,1,103.03,103.11,1.25,56
0,0,103.03,102.74,1.25,56
0,1,102.74,102.75,1.25,56
0,1,102.75,102.77,1.25,56
0,0,102.77,102.68,1.25,56
0,1,102.68,102.68,1.25,56
1,1,102.68,102.72,1.25,56
0,1,102.72,102.73,1.26,56
0,1,102.73,102.76,1.26,56
0,1,102.76,102.76,1.26,56
1,0,102.76,102.66,1.26,56
0,1,102.66,102.66,1.26,56
0,1,102.66,102.66,1.27,56
0,1,102.66,102.68,1.27,56
0,0,102.66,102.59,1.27,56
1,0,102.59,102.53,1.27,56
0,0,102.53,102.51,1.27,56
0,0,102.51,102.2,1.27,56
1,0,102.2,102.18,1.27,56
0,0,102.18,102.03,1.27,56
0,1,102.03,102.04,1.27,56
2,1,102.04,102.36,1.26,56
1,0,102.36,102.32,1.26,56
2,1,102.32,102.57,1.26,56
2,1,102.32,102.57,1.26,56
2,1,102.32,102.57,1.26,56
0,1,102.57,102.59,1.26,56
1,1,102.59,102.65,1.27,56
0,0,102.65,102.41,1.26,56
0,0,102.41,102.29,1.26,56
0,0,102.29,102.07,1.26,56
0,1,102.07,102.07,1.26,56
0,1,102.07,102.07,1.26,56
1,1,102.07,102.1,1.27,56
0,1,102.1,102.1,1.27,56
0,1,102.1,102.1,1.27,56
2,1,102.1,102.13,1.27,56
3,1,102.13,102.3,1.27,56
3,0,102.13,102.12,1.27,56
0,1,102.12,102.13,1.28,56
0,0,102.13,101.89,1.28,56
0,0,101.89,101.71,1.27,56
0,0,101.71,101.6,1.27,56
0,1,101.6,101.61,1.28,56
0,0,101.61,101.56,1.28,56
2,0,101.56,101.56,1.28,56
0,1,101.56,101.62,1.28,56
0,1,101.62,101.65,1.29,56
0,1,101.62,101.65,1.29,56
0,1,101.62,101.65,1.29,56
1,0,101.65,101.59,1.29,56
0,0,101.59,101.47,1.29,56
0,0,101.47,101.43,1.29,56
0,0,101.43,101.41,1.29,56
0,1,101.41,101.42,1.29,56
0,1,101.42,101.43,1.3,56
0,1,101.43,101.45,1.3,56
0,0,101.45,101.09,1.29,56
0,0,101.09,101.07,1.29,57
0,0,101.09,101.07,1.29,57
0,0,101.07,100.88,1.29,57
1,1,100.88,100.91,1.29,57
1,0,100.88,100.83,1.29,57
1,0,100.83,100.8,1.29,57
0,0,100.8,100.75,1.29,57
0,0,100.75,100.69,1.29,57
0,0,100.75,100.69,1.29,57
0,0,100.69,100.64,1.29,57
0,0,100.64,100.6,1.29,57
0,0,100.6,100.57,1.29,57
1,0,100.57,100.55,1.3,57
0,0,100.55,100.53,1.3,57
0,0,100.53,100.52,1.3,57
0,1,100.52,100.57,1.3,57
0,0,100.57,100.52,1.3,57
0,0,100.52,100.49,1.3,57
1,1,100.49,100.57,1.3,57
0,1,100.57,100.64,1.3,57
0,0,100.64,100.54,1.3,57
0,1,100.54,100.58,1.3,57
0,0,100.54,100.35,1.3,57
0,0,100.35,100.3,1.3,57
2,1,100.3,100.71,1.28,57
0,1,100.71,100.8,1.28,57
0,1,100.8,100.82,1.29,57
0,1,100.82,100.84,1.29,57
2,0,100.84,100.82,1.29,57
0,0,100.82,100.7,1.29,57
0,1,100.7,100.71,1.29,57
0,1,100.71,100.79,1.29,57
0,1,100.79,100.79,1.29,57
0,1,100.79,100.79,1.3,57
0,1,100.79,100.79,1.3,57
0,1,100.79,100.79,1.3,57
0,1,100.79,100.79,1.3,57
1,1,100.79,100.8,1.3,57
1,1,100.8,100.95,1.3,57
1,1,100.95,101.04,1.3,57
0,0,101.04,100.67,1.29,57
1,1,100.67,100.73,1.28,57
1,1,100.73,100.88,1.28,57
0,0,100.88,100.43,1.27,57
0,1,100.43,100.46,1.28,57
1,1,100.46,100.55,1.27,57
1,1,100.55,100.64,1.27,57
1,1,100.64,100.83,1.27,57
1,1,100.83,101.11,1.27,57
1,1,101.11,101.16,1.28,57
1,0,101.11,101.08,1.28,57
1,0,101.08,101.01,1.28,57
1,0,101.01,100.98,1.28,57
2,0,100.98,100.96,1.28,57
0,0,100.96,100.92,1.28,57
0,0,100.92,100.6,1.28,57
