kills,win,prev_rating,new_rating,new_sigma,file_number
0,0,110.0,104.29,49.48,54
0,0,110.0,104.29,49.48,54
0,0,104.29,97.84,48.79,54
0,0,97.84,95.24,48.15,54
3,0,95.24,95.06,48.15,54
0,0,95.06,91.33,46.95,54
2,0,91.33,91.09,46.95,54
1,1,91.09,112.11,45.92,54
0,0,112.11,104.37,44.74,54
1,1,104.37,113.55,44.21,54
0,0,113.55,99.76,42.62,54
2,0,99.76,98.88,42.61,54
3,1,98.88,131.64,33.18,54
1,0,131.64,131.11,33.14,54
0,0,131.11,124.16,32.76,54
0,0,124.16,107.59,29.64,55
0,0,124.16,107.59,29.64,55
1,0,107.59,106.95,29.55,55
1,0,107.59,106.95,29.55,55
2,1,106.95,140.44,23.25,55
0,1,140.44,142.65,22.89,55
2,1,142.65,148.02,20.38,55
0,1,148.02,149.17,20.35,55
0,0,149.17,145.06,20.15,55
0,0,145.06,107.97,14.33,55
1,0,107.97,107.87,14.32,55
0,0,107.87,107.45,14.25,55
0,0,107.45,107.12,14.13,55
0,0,107.12,104.0,13.33,55
1,0,104.0,103.99,13.33,55
0,0,103.99,103.58,13.16,55
0,0,103.58,103.48,13.13,55
0,0,103.48,103.43,13.12,55
2,1,103.43,113.06,10.52,55
0,0,113.06,112.92,10.49,55
1,1,112.92,118.01,10.29,55
1,0,118.01,117.0,10.22,55
2,0,117.0,116.77,10.21,55
2,1,116.77,124.67,8.65,55
3,0,124.67,124.67,8.65,55
3,0,124.67,124.66,8.65,55
0,0,124.66,122.14,8.38,55
0,0,122.14,116.66,8.21,55
0,0,122.14,116.66,8.21,55
0,0,116.66,113.22,7.93,55
1,0,113.22,112.78,7.91,55
1,0,112.78,112.63,7.89,55
0,0,112.63,112.55,7.87,55
0,0,112.55,112.55,7.87,55
0,1,112.55,112.7,7.87,55
0,0,112.7,112.65,7.85,55
1,0,112.65,112.59,7.84,55
0,0,112.59,112.58,7.84,55
0,0,112.58,112.58,7.84,55
0,0,112.58,111.75,7.64,55
1,0,111.75,111.55,7.63,55
0,0,111.55,111.55,7.63,55
0,0,111.55,105.72,7.2,55
0,0,105.72,105.71,7.2,55
2,1,105.71,109.74,7.11,55
2,1,105.71,109.74,7.11,55
1,1,109.74,111.11,7.07,55
1,0,111.11,111.11,7.07,55
0,0,111.11,102.8,6.73,55
0,0,102.8,100.52,6.58,55
0,1,100.52,100.67,6.58,55
0,1,100.67,100.67,6.58,55
1,1,100.67,100.77,6.58,55
0,0,100.77,100.63,6.55,55
0,0,100.63,100.58,6.55,55
2,0,100.58,100.58,6.55,55
0,0,100.58,99.67,6.52,55
0,0,99.67,99.43,6.49,55
1,0,99.43,99.42,6.49,55
0,0,99.42,98.06,6.41,55
1,0,98.06,97.77,6.4,55
1,0,98.06,97.77,6.4,55
1,0,97.77,97.77,6.4,55
0,0,97.77,97.76,6.4,55
1,0,97.76,97.1,6.39,55
0,0,97.1,97.1,6.39,55
2,1,97.1,98.88,6.37,55
0,0,98.88,98.85,6.37,55
0,0,98.85,97.59,6.24,55
0,0,97.59,97.57,6.23,55
2,0,97.57,97.55,6.23,55
2,1,97.55,104.06,6.12,55
0,0,104.06,104.01,6.11,55
0,0,104.01,104.01,6.11,55
0,1,104.01,105.42,6.06,56
0,1,104.01,105.42,6.06,56
0,1,104.01,105.42,6.06,56
3,1,105.42,107.23,5.62,56
3,1,105.42,107.23,5.62,56
0,1,107.23,107.24,5.62,56
0,1,107.24,107.59,5.61,56
0,0,107.24,105.77,5.44,56
0,0,105.77,102.9,5.16,56
0,0,102.9,102.48,5.08,56
0,0,102.48,97.6,4.73,56
0,0,97.6,96.75,4.6,56
0,0,96.75,94.79,4.48,56
2,1,94.79,95.76,4.38,56
1,1,95.76,97.18,4.3,56
0,0,97.18,95.88,4.13,56
0,1,95.88,96.23,4.12,56
0,1,96.23,96.39,4.12,56
0,1,96.39,96.63,4.12,56
2,0,96.63,96.29,4.12,56
0,0,96.29,95.09,3.95,56
2,0,95.09,94.79,3.95,56
0,1,94.79,94.81,3.95,56
0,1,94.81,94.85,3.95,56
1,1,94.85,95.12,3.94,56
0,1,95.12,95.13,3.94,56
0,1,95.13,95.13,3.94,56
0,1,95.13,95.16,3.94,56
0,1,95.16,95.25,3.94,56
0,0,95.16,94.62,3.93,56
1,1,94.62,94.8,3.92,56
1,0,94.8,93.98,3.9,56
0,0,93.98,92.25,3.8,56
1,0,92.25,91.91,3.78,56
2,1,91.91,92.61,3.73,56
0,0,92.61,92.17,3.71,56
0,0,92.17,91.92,3.69,56
2,1,91.92,95.96,3.47,56
3,1,95.96,99.93,3.31,56
3,1,95.96,99.93,3.31,56
3,1,95.96,99.93,3.31,56
1,0,99.93,99.51,3.3,56
1,0,99.51,99.23,3.3,56
1,0,99.23,99.12,3.29,56
0,0,99.12,99.03,3.28,56
0,1,99.03,99.07,3.28,56
3,1,99.07,101.31,2.9,56
0,1,101.31,101.37,2.9,56
0,0,101.37,100.77,2.85,58
0,0,101.37,100.77,2.85,58
0,1,100.77,100.96,2.84,58
1,0,100.96,100.72,2.83,58
1,1,100.72,101.25,2.78,58
0,0,101.25,100.77,2.71,58
1,1,100.77,101.74,2.67,58
1,1,100.77,101.74,2.67,58
0,1,101.74,101.87,2.67,58
1,1,101.87,102.28,2.66,58
1,1,102.28,102.58,2.64,58
2,1,102.58,103.55,2.55,58
3,1,103.55,104.44,2.38,58
1,0,104.44,104.37,2.38,58
0,0,104.37,103.88,2.35,58
3,0,103.88,103.87,2.35,58
0,0,103.87,103.24,2.33,58
0,0,103.24,102.55,2.32,58
0,0,103.24,102.55,2.32,58
0,0,103.24,102.55,2.32,58
2,0,102.55,102.49,2.32,58
0,0,102.49,102.19,2.3,58
0,0,102.19,101.8,2.3,58
0,0,101.8,101.55,2.29,58
1,0,101.55,101.48,2.28,58
0,1,101.48,101.55,2.29,58
0,1,101.55,101.55,2.29,58
1,1,101.55,101.59,2.29,58
0,1,101.59,101.59,2.29,58
0,1,101.59,101.6,2.29,58
2,1,101.6,101.83,2.27,58
2,0,101.6,101.59,2.29,58
0,1,101.59,101.59,2.29,58
1,1,101.59,101.61,2.29,58
1,1,101.61,101.61,2.3,58
0,1,101.61,101.61,2.3,58
0,1,101.61,101.61,2.3,58
0,1,101.61,101.62,2.3,58
1,1,101.62,101.65,2.3,58
1,1,101.62,101.65,2.3,58
0,1,101.65,101.66,2.3,58
1,1,101.66,102.03,2.28,58
0,0,102.03,101.72,2.27,58
2,0,101.72,101.69,2.27,58
0,1,101.69,101.69,2.27,58
2,1,101.69,102.21,2.23,58
0,1,102.21,102.23,2.23,58
1,0,102.23,102.11,2.23,58
1,1,102.11,102.13,2.23,58
0,1,102.13,102.13,2.23,58
2,1,102.13,102.23,2.23,58
0,1,102.23,102.24,2.23,58
0,0,102.23,102.18,2.23,58
0,0,102.18,101.96,2.23,58
1,0,101.96,101.75,2.23,58
0,0,101.75,101.56,2.22,58
0,0,101.56,101.24,2.21,58
1,0,101.24,101.14,2.21,58
0,1,101.14,101.16,2.21,58
1,0,101.16,101.06,2.21,58
2,1,101.06,101.85,2.14,58
0,1,101.85,101.85,2.15,58
0,0,101.85,101.67,2.13,58
0,1,101.67,101.97,2.13,58
0,0,101.67,101.32,2.13,58
0,0,101.32,100.88,2.11,59
0,0,101.32,100.88,2.11,59
2,0,100.88,100.83,2.12,59
1,1,100.83,101.22,2.09,59
0,1,101.22,101.25,2.09,59
0,1,101.25,101.29,2.1,59
0,0,101.25,101.1,2.08,59
1,1,101.1,101.18,2.08,59
0,1,101.18,101.28,2.08,59
1,1,101.28,101.46,2.06,59
0,1,101.46,101.49,2.06,59
0,1,101.49,101.65,2.06,59
1,0,101.65,101.6,2.06,59
0,1,101.6,101.62,2.07,59
1,1,101.62,101.75,2.05,59
1,1,101.75,101.85,2.05,59
1,1,101.85,101.95,2.04,59
2,1,101.95,102.07,2.02,59
2,0,101.95,101.94,2.04,59
2,1,101.94,102.03,2.02,59
1,1,102.03,102.39,2.0,59
0,1,102.39,102.47,2.0,59
0,0,102.47,102.04,1.98,59
0,0,102.04,101.76,1.97,59
4,1,101.76,102.08,1.91,59
1,1,102.08,102.09,1.91,59
1,1,102.09,102.1,1.91,59
1,1,102.09,102.1,1.91,59
0,1,102.1,102.1,1.91,59
0,1,102.1,102.1,1.91,59
1,1,102.1,102.15,1.91,59
0,1,102.15,102.15,1.91,59
0,1,102.15,102.16,1.92,59
0,0,102.16,101.65,1.91,59
0,0,102.16,101.65,1.91,59
0,0,102.16,101.65,1.91,59
0,0,101.65,100.98,1.9,59
0,0,100.98,100.73,1.89,59
0,0,100.73,100.48,1.89,59
1,1,100.48,100.49,1.89,59
0,0,100.49,100.44,1.89,59
0,0,100.44,100.39,1.89,59
0,0,100.39,100.36,1.89,59
0,0,100.36,100.35,1.89,59
0,1,100.35,100.37,1.9,59
0,1,100.37,100.37,1.9,59
1,1,100.37,100.43,1.9,59
1,0,100.43,100.15,1.89,59
0,1,100.15,100.17,1.9,59
0,0,100.15,100.09,1.89,59
0,0,100.09,99.48,1.88,59
0,1,99.48,99.49,1.88,59
0,1,99.49,99.55,1.88,59
1,0,99.55,99.42,1.88,59
1,1,99.42,99.43,1.88,59
0,1,99.43,99.44,1.88,59
0,0,99.44,99.36,1.88,59
0,0,99.36,99.05,1.87,59
0,1,99.05,99.06,1.87,59
0,1,99.06,99.06,1.87,59
1,1,99.06,99.08,1.87,59
1,1,99.06,99.08,1.87,59
0,1,99.08,99.11,1.87,59
1,1,99.11,99.12,1.87,59
0,0,99.12,98.93,1.87,59
0,1,98.93,98.93,1.87,59
0,1,98.93,98.94,1.87,59
0,1,98.94,99.17,1.87,59
0,1,99.17,99.22,1.87,59
1,1,99.22,99.23,1.88,59
0,0,99.23,99.15,1.88,59
2,1,99.15,99.23,1.88,59
2,0,99.15,99.14,1.88,59
0,1,99.14,99.16,1.88,59
0,1,99.16,99.16,1.88,59
1,0,99.16,98.93,1.88,59
1,1,98.93,98.95,1.88,59
1,1,98.95,98.96,1.88,60
1,0,98.96,98.76,1.88,60
2,1,98.76,99.07,1.87,60
1,1,99.07,99.08,1.87,60
0,1,99.08,99.08,1.87,60
2,1,99.08,99.13,1.87,60
2,1,99.08,99.13,1.87,60
2,1,99.08,99.13,1.87,60
0,1,99.13,99.13,1.87,60
0,0,99.13,98.62,1.86,60
1,1,98.62,98.71,1.86,60
1,0,98.71,98.63,1.86,60
0,0,98.63,98.56,1.86,60
0,1,98.56,98.56,1.86,60
0,1,98.56,98.57,1.86,60
0,1,98.57,98.58,1.86,60
0,1,98.58,98.63,1.86,60
1,1,98.63,98.64,1.87,60
0,1,98.64,98.66,1.87,60
0,0,98.66,98.6,1.87,60
1,1,98.6,98.61,1.87,60
1,0,98.6,98.59,1.87,60
0,1,98.59,98.66,1.87,60
1,1,98.66,98.67,1.87,60
0,1,98.67,98.69,1.87,60
0,1,98.69,98.69,1.87,60
0,0,98.69,98.63,1.88,60
2,1,98.63,98.74,1.88,60
0,1,98.74,98.74,1.88,60
0,1,98.74,98.75,1.88,60
0,0,98.75,98.71,1.88,62
0,0,98.75,98.71,1.88,62
0,0,98.71,98.7,1.88,62
0,0,98.7,98.66,1.88,62
0,0,98.66,98.65,1.88,62
0,0,98.65,98.64,1.88,62
0,0,98.64,98.49,1.87,62
0,1,98.49,98.49,1.87,62
0,0,98.49,98.48,1.87,62
1,0,98.48,98.48,1.87,62
0,0,98.48,98.31,1.86,62
0,0,98.31,98.15,1.85,62
0,0,98.15,97.93,1.84,62
1,0,97.93,97.9,1.84,62
0,1,97.9,97.91,1.85,62
0,0,97.91,97.79,1.84,62
0,0,97.79,97.73,1.84,62
0,1,97.73,97.75,1.84,62
1,0,97.75,97.69,1.84,62
0,0,97.69,97.65,1.84,62
0,0,97.65,97.5,1.83,62
0,0,97.5,97.16,1.82,62
0,0,97.16,97.1,1.81,62
1,0,97.1,96.92,1.81,62
0,0,96.92,96.51,1.8,62
0,0,96.51,96.23,1.78,62
0,0,96.23,96.19,1.77,62
1,0,96.19,95.9,1.77,62
0,0,95.9,95.43,1.75,62
1,1,95.43,95.59,1.75,63
1,1,95.43,95.59,1.75,63
1,1,95.43,95.59,1.75,63
0,0,95.59,95.56,1.74,63
0,1,95.56,95.61,1.75,63
0,0,95.61,95.48,1.73,63
2,0,95.48,95.48,1.74,63
1,0,95.48,95.46,1.74,63
0,0,95.46,95.37,1.73,63
0,0,95.37,95.28,1.72,63
0,0,95.28,95.19,1.72,63
0,0,95.19,95.02,1.71,63
0,0,95.02,94.97,1.7,63
0,0,94.97,94.84,1.69,63
0,0,94.84,94.63,1.69,63
