kills,win,prev_rating,new_rating,new_sigma,file_number
0,0,110.0,75.15,40.77,55
0,0,110.0,75.15,40.77,55
1,1,75.15,88.84,38.44,55
1,1,88.84,92.15,38.04,55
1,1,92.15,112.9,29.27,55
1,1,112.9,115.91,27.91,55
0,0,115.91,84.8,23.57,55
0,0,84.8,68.62,20.67,55
0,0,68.62,66.95,19.92,55
0,0,66.95,60.83,19.24,55
1,0,60.83,60.56,19.21,55
0,1,60.56,62.48,19.19,55
0,1,62.48,63.98,18.98,55
0,1,63.98,64.48,18.95,55
1,1,64.48,67.19,18.76,55
0,0,67.19,63.69,18.61,55
1,0,63.69,52.05,18.07,55
0,0,52.05,51.62,17.88,55
0,0,51.62,50.96,17.75,55
0,0,50.96,50.45,17.52,55
0,0,50.45,45.66,15.97,55
0,0,45.66,45.61,15.95,55
0,0,45.61,45.02,15.65,55
1,0,45.02,44.97,15.65,55
0,0,44.97,44.9,15.62,55
1,1,44.9,49.92,15.08,55
1,0,49.92,49.82,15.07,55
0,1,49.82,53.68,14.99,55
1,0,53.68,51.54,14.78,55
0,0,51.54,47.94,12.95,55
1,1,47.94,52.61,12.54,55
0,0,52.61,52.35,12.47,55
0,0,52.35,51.87,12.36,55
0,0,51.87,46.73,11.55,55
1,1,46.73,53.64,11.36,55
1,1,46.73,53.64,11.36,55
1,1,46.73,53.64,11.36,55
1,1,53.64,63.51,9.53,55
1,1,63.51,65.89,9.0,55
0,1,65.89,65.97,8.99,55
1,1,65.97,66.04,8.97,55
0,1,66.04,66.04,8.98,55
0,0,66.04,64.41,8.78,55
0,1,64.41,64.42,8.78,55
1,1,64.42,64.52,8.76,55
1,1,64.52,64.53,8.75,55
0,1,64.53,64.53,8.76,55
0,1,64.53,64.59,8.75,55
0,1,64.59,64.78,8.75,55
1,1,64.78,64.78,8.75,55
2,1,64.78,73.64,7.87,55
0,1,73.64,73.64,7.87,55
2,0,73.64,73.24,7.87,55
2,0,73.64,73.24,7.87,55
2,0,73.64,73.24,7.87,55
0,0,73.24,71.64,7.82,55
0,1,71.64,71.64,7.82,55
1,1,71.64,75.4,7.76,55
1,1,75.4,76.78,7.71,55
0,0,76.78,73.87,7.63,55
0,0,73.87,73.86,7.63,55
0,0,73.86,73.62,7.62,55
0,1,73.62,73.65,7.62,55
0,1,73.65,73.67,7.62,55
1,1,73.67,73.7,7.62,55
0,1,73.7,73.87,7.62,55
0,1,73.87,73.91,7.62,55
1,1,73.91,73.92,7.62,55
0,1,73.92,74.09,7.62,55
0,1,74.09,74.26,7.61,55
0,1,74.09,74.26,7.61,55
1,1,74.26,74.26,7.61,55
0,1,74.26,74.26,7.61,55
0,1,74.26,75.02,7.6,55
0,1,75.02,75.02,7.6,55
1,0,75.02,72.98,7.58,55
1,1,72.98,72.99,7.58,55
2,1,72.99,75.84,6.99,55
0,1,75.84,75.85,6.99,55
0,1,75.85,75.88,6.99,55
2,0,75.88,74.63,6.98,55
0,1,74.63,74.63,6.98,55
0,1,74.63,74.63,6.98,55
0,1,74.63,74.63,6.98,55
0,0,74.63,74.63,6.98,55
0,0,74.63,74.44,6.97,55
0,0,74.44,74.38,6.96,55
1,1,74.38,79.5,6.86,55
1,1,79.5,80.84,6.77,55
0,1,80.84,81.0,6.76,55
0,0,81.0,80.97,6.75,55
0,0,80.97,77.62,6.59,55
0,0,77.62,76.42,6.42,55
0,0,76.42,76.35,6.4,55
0,0,76.35,76.32,6.39,55
0,0,76.32,73.37,6.19,55
0,0,73.37,73.0,6.15,55
0,0,73.0,73.0,6.15,55
1,0,73.0,72.87,6.15,55
0,0,72.87,72.15,6.01,55
1,0,72.15,72.15,6.01,55
0,0,72.15,72.14,6.0,55
0,0,72.14,72.08,5.99,55
0,0,72.08,72.04,5.98,55
0,0,72.04,71.78,5.91,55
0,0,71.78,71.78,5.91,55
0,0,71.78,71.18,5.81,55
0,0,71.18,71.17,5.8,55
1,1,71.17,72.42,5.78,55
0,0,72.42,72.41,5.78,55
0,0,72.41,72.41,5.78,55
0,1,72.41,73.85,5.75,57
0,1,72.41,73.85,5.75,57
2,1,73.85,89.07,4.33,57
0,1,89.07,89.28,4.33,57
0,0,89.07,88.33,4.26,57
1,0,88.33,87.48,4.2,57
1,0,87.48,87.15,4.18,57
0,0,87.15,85.98,4.08,57
0,0,85.98,85.58,4.03,57
1,0,85.58,84.39,4.01,57
0,0,84.39,84.24,3.98,57
0,0,84.24,83.92,3.91,57
0,0,83.92,83.07,3.82,57
1,0,83.07,82.9,3.81,57
1,0,83.07,82.9,3.81,57
1,0,83.07,82.9,3.81,57
0,0,82.9,82.69,3.77,57
1,1,82.69,82.9,3.77,57
0,0,82.9,82.29,3.68,57
0,0,82.29,81.78,3.64,57
1,0,81.78,81.7,3.63,57
0,1,81.7,81.77,3.63,57
