kills,win,prev_rating,new_rating,new_sigma,file_number
0,1,110.0,110.4,49.93,60
0,1,110.4,124.89,44.26,60
0,1,124.89,126.97,43.58,60
0,0,126.97,95.01,29.42,60
2,1,95.01,120.85,18.12,60
3,1,120.85,125.65,14.81,60
0,1,125.65,126.14,14.77,60
1,1,126.14,126.31,14.64,61
1,1,126.14,126.31,14.64,61
1,1,126.31,127.29,13.73,61
1,1,127.29,127.94,13.1,61
1,1,127.94,128.41,12.62,61
1,1,128.41,128.77,12.25,61
0,1,128.77,132.07,12.06,61
1,1,132.07,132.83,11.45,61
1,0,132.83,120.96,9.83,61
0,0,120.96,110.69,7.62,61
1,0,110.69,109.12,7.34,61
0,0,109.12,105.57,6.44,61
0,0,105.57,101.94,5.38,61
0,0,101.94,100.87,5.09,61
1,1,100.87,103.89,4.63,61
1,0,100.87,99.75,5.03,61
1,1,99.75,103.88,4.38,61
1,1,103.88,104.22,4.32,61
1,1,103.88,104.22,4.32,61
0,1,104.22,104.24,4.32,61
0,1,104.24,104.38,4.32,61
2,1,104.38,105.68,4.02,61
2,1,105.68,106.12,3.88,61
0,1,106.12,106.25,3.88,61
0,1,106.25,106.27,3.88,61
0,1,106.25,106.27,3.88,61
0,1,106.25,106.27,3.88,61
0,1,106.25,106.27,3.88,61
1,1,106.27,106.63,3.84,61
0,0,106.63,104.65,3.77,61
0,0,106.63,104.65,3.77,61
0,1,104.65,104.7,3.77,61
0,1,104.65,104.7,3.77,61
0,1,104.65,104.7,3.77,61
1,0,104.7,104.39,3.75,61
2,0,104.39,104.26,3.75,61
0,0,104.26,104.13,3.73,61
0,1,104.13,104.14,3.73,61
0,1,104.14,104.33,3.72,61
2,1,104.33,104.86,3.67,61
0,0,104.86,104.15,3.51,61
0,0,104.15,101.37,3.31,61
1,1,101.37,101.43,3.31,62
1,1,101.37,101.43,3.31,62
1,1,101.37,101.43,3.31,62
0,1,101.43,101.44,3.31,62
0,1,101.43,101.44,3.31,62
1,1,101.44,101.45,3.3,62
0,1,101.45,101.46,3.31,62
2,1,101.46,101.49,3.3,62
0,0,101.49,101.14,3.26,62
1,1,101.14,101.21,3.24,62
0,1,101.21,101.34,3.24,62
0,1,101.34,101.42,3.24,62
2,1,101.42,101.96,3.09,62
1,1,101.96,102.76,3.05,62
3,1,102.76,102.97,2.96,62
0,1,102.97,103.01,2.96,62
1,0,103.01,102.64,2.95,62
1,1,102.64,102.68,2.95,62
1,0,102.64,102.61,2.95,62
1,0,102.61,102.41,2.95,62
0,0,102.41,101.96,2.92,62
0,0,101.96,101.37,2.9,62
1,0,101.37,100.9,2.9,62
0,0,100.9,100.59,2.88,62
1,1,100.59,100.66,2.87,62
2,1,100.66,100.69,2.87,62
1,1,100.69,100.69,2.87,62
1,1,100.69,100.84,2.85,62
5,1,100.84,101.79,2.62,62
0,0,101.79,101.65,2.61,62
0,0,101.79,101.65,2.61,62
1,1,101.65,101.81,2.61,62
0,1,101.81,101.81,2.61,62
2,1,101.81,101.84,2.6,62
0,0,101.84,99.87,2.57,62
0,0,99.87,99.78,2.56,62
1,1,99.78,99.84,2.56,62
1,1,99.84,99.85,2.56,62
2,1,99.85,99.96,2.54,62
1,1,99.96,99.96,2.54,62
0,1,99.96,99.97,2.54,62
1,1,99.97,100.13,2.54,62
2,1,100.13,100.16,2.53,62
2,0,100.13,100.12,2.54,62
1,1,100.12,100.12,2.54,62
1,1,100.12,100.25,2.53,62
3,1,100.25,101.13,2.38,62
2,1,101.13,101.89,2.3,62
2,1,101.89,102.01,2.29,62
1,0,102.01,101.92,2.29,62
1,1,101.92,102.04,2.29,62
1,1,102.04,102.1,2.28,62
1,0,102.1,101.95,2.28,62
0,1,101.95,101.98,2.28,62
0,1,101.98,101.98,2.29,62
0,1,101.98,101.98,2.29,62
0,1,101.98,101.98,2.29,62
0,1,101.98,102.03,2.29,62
0,1,101.98,102.03,2.29,62
0,1,101.98,102.03,2.29,62
1,1,102.03,102.53,2.27,62
1,1,102.53,102.57,2.26,62
1,1,102.57,102.95,2.25,62
1,1,102.95,103.31,2.24,62
2,1,103.31,103.85,2.18,62
0,1,103.85,103.86,2.18,62
0,1,103.86,104.07,2.18,62
0,1,104.07,104.22,2.18,62
1,0,104.22,104.14,2.18,62
1,1,104.14,104.73,2.13,63
0,0,104.73,103.07,2.03,63
1,1,103.07,103.36,2.0,63
0,0,103.36,102.71,1.93,63
3,1,102.71,103.16,1.86,63
0,0,103.16,102.52,1.82,63
0,0,102.52,101.98,1.79,63
3,1,101.98,102.44,1.73,63
0,1,102.44,102.46,1.73,63
1,1,102.46,102.57,1.73,63
1,0,102.57,102.29,1.72,63
2,0,102.29,102.2,1.72,63
1,0,102.2,102.07,1.72,63
2,1,102.07,102.24,1.7,63
2,0,102.07,102.06,1.72,63
1,0,102.06,101.83,1.71,63
0,0,101.83,101.3,1.66,63
0,0,101.3,101.26,1.66,63
1,1,101.26,101.36,1.65,63
1,0,101.36,101.24,1.65,63
