kills,win,prev_rating,new_rating,new_sigma,file_number
1,1,110.0,132.63,42.34,59
1,1,110.0,132.63,42.34,59
0,0,132.63,77.7,20.99,59
0,0,77.7,73.33,17.71,59
2,1,73.33,108.9,8.01,59
1,0,108.9,101.23,5.62,59
0,0,101.23,97.94,4.6,59
0,0,97.94,97.2,4.29,59
1,1,97.2,101.83,3.63,59
1,1,101.83,104.36,3.23,59
0,0,104.36,103.29,3.0,59
0,0,103.29,102.5,2.83,59
1,1,102.5,104.08,2.63,59
0,0,104.08,103.37,2.5,59
0,1,103.37,103.63,2.49,59
0,0,103.37,102.69,2.4,59
0,0,102.69,102.21,2.31,59
0,0,102.21,101.8,2.24,59
0,0,101.8,101.45,2.17,59
1,1,101.45,102.53,2.07,59
0,0,102.53,102.18,2.01,59
1,1,102.18,103.05,1.93,59
1,1,103.05,103.79,1.86,59
1,1,103.79,104.41,1.8,59
0,0,104.41,103.97,1.74,59
1,1,103.97,104.5,1.7,59
0,0,104.5,104.15,1.66,59
1,1,104.15,104.59,1.62,59
1,0,104.15,103.99,1.66,59
1,1,103.99,104.46,1.62,59
1,1,104.46,104.88,1.58,59
1,1,104.88,105.26,1.55,59
0,0,105.26,104.92,1.51,59
1,1,104.92,105.27,1.49,59
1,1,105.27,105.58,1.46,59
0,0,105.58,105.26,1.43,59
0,0,105.26,104.96,1.41,59
0,0,104.96,104.69,1.39,59
0,0,104.69,104.44,1.37,59
1,1,104.44,104.75,1.35,59
1,1,104.75,105.03,1.33,59
1,0,104.75,104.65,1.34,59
0,0,104.65,104.41,1.33,59
0,0,104.41,104.19,1.31,59
0,0,104.19,103.98,1.29,59
0,0,103.98,103.79,1.28,59
0,0,103.79,103.61,1.26,59
0,0,103.61,103.43,1.25,59
0,0,103.43,103.29,1.24,59
0,1,103.29,103.4,1.25,59
1,1,103.4,103.67,1.24,59
0,1,103.67,103.77,1.24,59
0,1,103.77,103.86,1.24,59
0,1,103.86,103.89,1.24,59
0,0,103.86,103.74,1.23,59
0,0,103.74,103.62,1.23,59
0,0,103.62,103.5,1.23,59
0,0,103.5,103.27,1.21,59
0,0,103.27,103.15,1.2,59
0,1,103.15,103.18,1.21,59
0,1,103.15,103.18,1.21,59
0,1,103.15,103.18,1.21,59
1,1,103.18,103.35,1.2,59
0,1,103.35,103.38,1.21,59
0,1,103.38,103.42,1.21,59
0,1,103.42,103.47,1.21,59
1,1,103.47,103.56,1.21,59
1,1,103.47,103.56,1.21,59
0,0,103.56,103.44,1.21,59
0,0,103.44,103.34,1.21,59
0,0,103.44,103.34,1.21,59
0,1,103.34,103.39,1.21,59
0,1,103.39,103.44,1.21,59
0,1,103.44,103.52,1.21,59
0,0,103.44,103.31,1.21,59
0,1,103.31,103.35,1.21,59
0,0,103.35,103.33,1.22,59
0,1,103.33,103.44,1.22,59
0,0,103.33,103.09,1.21,59
0,0,103.09,103.06,1.21,59
0,0,103.06,103.02,1.21,59
0,0,103.02,102.97,1.21,59
1,0,102.97,102.96,1.22,59
1,0,102.96,102.94,1.22,59
1,1,102.94,103.17,1.22,59
1,1,103.17,103.39,1.21,59
1,0,103.39,103.37,1.21,59
0,0,103.37,103.31,1.21,59
1,1,103.31,103.53,1.21,59
1,0,103.53,103.52,1.21,59
0,1,103.52,103.6,1.21,59
0,0,103.52,103.25,1.21,59
1,1,103.25,103.29,1.21,59
0,0,103.29,103.19,1.2,59
0,0,103.19,103.1,1.2,59
2,1,103.1,103.13,1.2,59
0,0,103.13,103.06,1.2,59
0,0,103.06,102.86,1.2,59
0,0,102.86,102.68,1.2,59
0,0,102.68,102.54,1.2,59
0,0,102.54,102.43,1.2,59
0,1,102.43,102.48,1.2,59
0,1,102.48,102.49,1.2,59
1,1,102.49,102.52,1.2,59
1,0,102.49,102.47,1.2,59
2,1,102.47,102.54,1.2,59
0,1,102.54,102.57,1.2,59
1,1,102.57,102.63,1.2,59
2,1,102.63,102.7,1.2,59
0,1,102.7,102.75,1.2,59
0,0,102.75,102.71,1.2,59
2,1,102.71,102.75,1.2,59
1,1,102.75,102.8,1.2,59
1,1,102.8,102.83,1.2,59
2,1,102.83,102.92,1.19,59
0,1,102.92,102.93,1.19,59
0,0,102.92,102.9,1.19,59
0,1,102.9,102.9,1.19,59
0,0,102.9,102.8,1.19,59
0,0,102.9,102.8,1.19,59
1,1,102.8,102.81,1.2,59
1,1,102.81,102.81,1.2,59
0,0,102.81,102.8,1.2,59
0,0,102.8,102.8,1.21,59
0,0,102.8,102.8,1.21,59
0,0,102.8,102.77,1.21,59
0,0,102.8,102.77,1.21,59
0,0,102.77,102.77,1.21,59
2,0,102.77,102.76,1.22,59
2,1,102.76,103.22,1.21,59
0,1,103.22,103.26,1.22,59
2,1,103.26,103.35,1.22,59
0,1,103.35,103.37,1.22,59
0,0,103.37,103.36,1.22,59
0,1,103.36,103.37,1.22,59
0,1,103.37,103.37,1.23,59
1,1,103.37,103.38,1.23,59
2,1,103.38,103.39,1.23,59
0,0,103.39,103.33,1.23,59
1,0,103.33,103.33,1.24,59
0,0,103.33,103.29,1.24,59
0,0,103.33,103.29,1.24,59
2,1,103.29,103.8,1.22,59
1,1,103.8,103.81,1.23,59
1,0,103.8,103.78,1.23,59
1,1,103.78,103.96,1.23,59
1,0,103.96,103.95,1.23,59
2,0,103.95,103.93,1.23,59
1,1,103.93,103.98,1.23,59
0,0,103.98,103.97,1.24,59
0,0,103.97,103.89,1.24,59
4,1,103.89,104.02,1.22,59
3,1,104.02,104.33,1.2,59
1,0,104.33,104.31,1.21,59
1,0,104.31,104.31,1.21,59
0,0,104.31,104.29,1.21,59
0,0,104.29,104.25,1.21,59
0,0,104.25,104.25,1.21,59
1,1,104.25,104.26,1.22,59
0,0,104.26,104.26,1.22,59
0,0,104.26,104.24,1.22,59
1,0,104.24,104.13,1.22,59
1,0,104.13,104.06,1.23,59
0,0,104.06,104.06,1.23,59
1,1,104.06,104.07,1.23,59
0,1,104.07,104.08,1.23,59
0,0,104.07,104.04,1.23,59
0,0,104.04,104.01,1.24,59
2,0,104.01,104.01,1.24,59
0,1,104.01,104.07,1.24,59
0,0,104.07,104.06,1.24,59
0,0,104.06,104.05,1.25,60
0,1,104.05,104.07,1.25,60
0,0,104.07,104.0,1.25,60
0,0,104.0,103.99,1.25,60
1,0,103.99,103.99,1.25,60
2,0,103.99,103.98,1.26,60
2,0,103.99,103.98,1.26,60
0,0,103.98,103.98,1.26,60
2,1,103.98,104.42,1.25,60
1,0,104.42,104.4,1.25,60
2,1,104.4,104.58,1.25,60
3,1,104.58,104.64,1.24,60
0,0,104.64,104.63,1.25,60
1,0,104.63,104.62,1.25,60
2,0,104.62,104.62,1.25,60
0,0,104.62,104.5,1.25,60
0,0,104.5,104.48,1.25,60
0,0,104.48,104.45,1.25,60
4,1,104.45,104.57,1.24,60
0,1,104.57,104.57,1.24,60
0,0,104.57,104.56,1.24,60
1,0,104.56,104.51,1.24,60
0,0,104.51,104.51,1.25,60
0,0,104.51,104.46,1.25,60
0,0,104.46,104.45,1.25,60
2,1,104.45,104.49,1.25,60
1,0,104.49,104.47,1.25,60
1,0,104.47,104.47,1.26,60
1,0,104.47,104.46,1.26,60
