kills,win,prev_rating,new_rating,new_sigma,file_number
0,0,110.0,95.35,48.02,54
0,0,110.0,95.35,48.02,54
0,0,110.0,95.35,48.02,54
0,0,95.35,90.08,47.56,54
1,0,90.08,87.89,47.48,54
0,0,87.89,85.42,46.89,54
1,0,85.42,84.18,46.8,54
2,0,84.18,83.71,46.78,54
1,0,83.71,83.06,46.75,54
1,1,83.06,103.9,45.73,54
1,0,103.9,101.08,45.58,54
1,1,101.08,110.6,45.02,54
0,0,110.6,96.3,43.34,54
0,0,96.3,89.6,42.49,54
0,1,89.6,91.22,42.47,54
0,0,91.22,88.85,41.83,54
0,0,88.85,77.78,41.07,54
1,1,77.78,99.35,38.24,54
1,1,99.35,111.78,33.2,54
0,0,111.78,71.29,25.4,54
1,1,71.29,93.24,20.19,54
0,0,93.24,74.43,16.01,54
1,1,74.43,88.67,12.83,54
1,1,88.67,92.55,11.35,54
1,1,92.55,94.33,10.5,54
0,0,94.33,80.7,8.34,54
0,1,80.7,86.01,7.08,54
1,1,86.01,88.07,6.39,54
0,1,88.07,89.18,5.96,54
0,1,89.18,90.03,5.95,54
0,1,89.18,90.03,5.95,54
0,1,90.03,90.34,5.94,54
1,0,90.34,90.02,5.91,54
1,0,90.34,90.02,5.91,54
1,1,90.02,93.9,5.6,54
0,1,93.9,94.0,5.59,54
0,0,93.9,93.54,5.52,54
0,1,93.54,93.54,5.52,54
0,0,93.54,90.73,5.29,54
0,1,90.73,90.75,5.29,54
0,0,90.75,89.35,5.1,54
0,0,89.35,88.51,4.95,54
2,1,88.51,94.0,4.02,54
1,1,94.0,94.12,3.98,54
2,1,94.12,94.93,3.74,54
0,1,94.93,94.93,3.74,54
2,1,94.93,95.48,3.56,54
1,1,95.48,95.48,3.56,55
1,1,95.48,95.52,3.55,55
2,1,95.52,95.92,3.41,55
0,0,95.92,93.15,3.3,55
1,0,93.15,91.84,3.27,55
0,0,91.84,91.81,3.27,55
0,0,91.81,91.79,3.26,55
0,0,91.79,91.77,3.26,55
1,0,91.77,91.05,3.24,55
1,0,91.05,90.96,3.23,55
0,1,90.96,91.19,3.22,55
2,1,91.19,92.52,2.99,55
1,0,92.52,92.51,2.99,55
0,0,92.51,92.5,2.99,55
0,0,92.5,92.16,2.93,55
0,0,92.16,92.15,2.93,55
0,0,92.15,92.14,2.93,55
0,0,92.14,92.12,2.92,55
0,0,92.12,90.47,2.77,55
1,0,90.47,90.46,2.77,55
0,0,90.46,89.66,2.71,55
0,0,89.66,89.65,2.71,55
0,0,89.65,89.65,2.71,55
2,1,89.65,91.19,2.53,55
1,0,91.19,91.19,2.53,55
0,0,91.19,91.02,2.49,55
0,0,91.02,91.02,2.49,55
0,0,91.02,91.01,2.49,55
0,0,91.01,91.01,2.49,55
2,1,91.01,93.0,2.32,55
0,0,93.0,92.99,2.32,55
1,0,92.99,92.99,2.32,55
1,0,92.99,92.66,2.31,55
1,0,92.66,92.61,2.31,55
2,1,92.61,94.14,2.18,55
0,1,94.14,94.25,2.18,55
0,0,94.25,94.04,2.15,55
0,0,94.04,94.04,2.15,55
0,0,94.04,93.86,2.13,55
0,0,93.86,93.58,2.08,55
0,0,93.58,93.45,2.07,55
0,0,93.45,93.44,2.07,55
0,0,93.44,93.43,2.07,55
1,1,93.43,93.95,2.05,55
