kills,win,prev_rating,new_rating,new_sigma,file_number
1,0,110.0,104.61,49.74,54
0,0,104.61,98.96,49.23,54
0,0,98.96,92.57,48.55,54
0,0,92.57,90.0,47.92,54
1,0,90.0,88.71,47.82,54
1,0,88.71,87.35,47.66,54
2,0,87.35,87.11,47.66,54
1,1,87.11,108.76,46.58,54
1,0,108.76,105.83,46.41,54
2,1,105.83,132.68,41.87,54
0,0,132.68,120.31,40.52,54
0,0,120.31,114.45,39.82,54
2,1,114.45,124.98,38.89,54
1,0,124.98,124.25,38.82,54
1,0,124.25,120.74,38.74,54
0,1,120.74,127.8,38.43,54
0,0,127.8,105.45,31.95,54
1,1,105.45,138.46,25.11,54
1,1,138.46,149.18,23.05,54
0,0,149.18,132.84,20.53,54
2,1,132.84,133.91,19.46,54
2,1,133.91,135.43,18.12,54
2,1,135.43,136.38,17.22,54
2,1,136.38,137.05,16.56,54
2,0,137.05,99.47,8.58,54
0,0,99.47,96.49,7.42,54
0,0,96.49,95.13,7.02,54
1,1,95.13,100.62,6.49,54
2,1,100.62,101.64,5.96,54
1,0,101.64,101.63,5.96,54
2,1,101.63,107.4,5.0,54
0,0,107.4,107.34,4.98,54
2,1,107.34,109.53,4.47,54
2,1,109.53,110.67,4.15,54
0,0,110.67,109.21,4.08,54
0,0,110.67,109.21,4.08,54
0,0,109.21,109.08,4.04,54
0,0,109.08,108.61,3.96,54
0,0,108.61,108.59,3.96,54
0,0,108.59,108.24,3.89,54
1,0,108.24,108.24,3.89,55
0,0,108.24,108.19,3.87,55
0,0,108.19,107.92,3.82,55
1,1,107.92,111.38,3.65,55
0,1,111.38,112.1,3.65,55
2,1,112.1,112.15,3.62,55
2,1,112.15,112.2,3.59,55
2,1,112.2,112.24,3.56,55
0,1,112.24,112.63,3.56,55
1,1,112.63,112.83,3.51,55
1,0,112.83,112.2,3.49,55
1,0,112.2,111.73,3.46,55
2,1,111.73,111.77,3.44,55
2,1,111.77,111.8,3.42,55
1,1,111.8,112.24,3.34,55
2,1,112.24,112.26,3.33,55
2,1,112.26,112.29,3.31,55
2,1,112.29,112.31,3.3,55
0,1,112.31,112.66,3.29,55
2,1,112.66,112.67,3.29,55
0,1,112.67,112.94,3.28,55
2,1,112.94,112.94,3.28,55
2,1,112.94,112.95,3.28,55
1,0,112.95,112.26,3.25,55
2,1,112.26,112.27,3.24,55
1,1,112.27,112.46,3.2,55
2,1,112.46,112.47,3.2,55
2,1,112.47,112.48,3.19,55
2,1,112.48,112.48,3.19,55
0,0,112.48,110.63,3.08,55
2,1,110.63,110.65,3.06,55
2,1,110.65,110.67,3.05,55
0,1,110.67,110.93,3.05,55
1,1,110.93,111.06,3.02,55
0,0,111.06,109.59,2.92,55
1,0,109.59,109.13,2.91,55
1,1,109.13,109.49,2.85,55
2,1,109.49,109.52,2.83,55
1,1,109.52,109.82,2.78,55
1,1,109.82,110.16,2.73,55
1,1,110.16,110.38,2.69,55
2,1,110.38,110.39,2.69,55
2,1,110.39,110.41,2.68,55
0,1,110.41,110.61,2.67,55
0,1,110.41,110.61,2.67,55
0,1,110.61,110.77,2.67,55
0,1,110.77,110.88,2.67,55
1,1,110.88,110.95,2.65,55
0,1,110.95,111.02,2.65,55
1,1,111.02,111.07,2.64,55
1,1,111.07,111.11,2.63,55
0,0,111.11,109.97,2.59,55
1,1,109.97,110.15,2.55,55
1,1,110.15,110.31,2.52,55
0,0,110.31,109.53,2.49,55
0,0,109.53,108.98,2.45,55
0,1,108.98,109.31,2.44,55
0,1,109.31,109.56,2.44,55
1,1,109.56,109.75,2.4,55
1,1,109.75,109.91,2.37,55
0,1,109.91,110.08,2.36,55
0,1,110.08,110.21,2.36,55
1,1,110.21,110.72,2.35,55
1,1,110.72,110.84,2.35,55
2,1,110.84,110.88,2.34,55
1,1,110.88,110.94,2.34,55
1,1,110.94,110.97,2.34,55
0,1,110.97,110.99,2.34,55
2,1,110.99,110.99,2.34,55
0,0,110.99,110.05,2.31,55
0,0,110.05,109.14,2.25,55
0,0,109.14,107.32,2.11,55
1,0,107.32,107.3,2.11,55
0,1,107.3,107.31,2.11,55
0,1,107.3,107.31,2.11,55
0,0,107.31,107.29,2.11,55
0,0,107.31,107.29,2.11,55
1,0,107.29,107.24,2.11,55
1,0,107.24,107.23,2.11,55
2,1,107.23,107.51,2.11,55
0,1,107.51,107.53,2.11,55
3,1,107.53,107.58,2.11,55
0,1,107.58,107.61,2.11,55
0,0,107.61,107.6,2.11,55
0,0,107.61,107.6,2.11,55
0,1,107.6,107.63,2.11,55
2,1,107.63,107.76,2.1,55
1,1,107.76,107.78,2.1,55
2,1,107.78,107.87,2.1,55
0,0,107.87,107.82,2.1,55
0,0,107.82,107.42,2.1,55
1,0,107.42,107.42,2.1,55
0,0,107.42,107.41,2.1,55
0,0,107.41,107.4,2.1,55
0,0,107.4,107.33,2.1,55
0,0,107.33,107.33,2.1,55
1,0,107.33,107.33,2.1,55
1,0,107.33,107.33,2.1,55
0,0,107.33,107.33,2.11,55
0,1,107.33,107.36,2.11,55
1,0,107.36,107.36,2.11,55
2,1,107.36,107.92,2.1,55
1,0,107.92,107.87,2.1,55
1,0,107.87,107.85,2.1,55
2,1,107.85,108.18,2.09,55
0,0,108.18,108.18,2.09,55
0,0,108.18,108.16,2.09,55
1,0,108.16,108.11,2.09,55
1,1,108.11,108.34,2.09,55
0,1,108.34,108.46,2.09,55
0,1,108.46,108.5,2.1,55
3,1,108.5,108.59,2.08,55
1,1,108.59,108.59,2.08,55
1,1,108.59,108.59,2.08,55
0,0,108.59,108.5,2.08,55
2,1,108.5,108.51,2.08,55
2,1,108.51,108.53,2.08,55
2,1,108.53,108.53,2.08,55
1,1,108.53,108.53,2.09,55
4,1,108.53,108.71,2.05,55
1,1,108.71,108.74,2.05,55
1,1,108.74,108.74,2.05,55
0,1,108.74,108.81,2.05,55
1,1,108.81,108.81,2.06,55
2,1,108.81,109.14,2.06,55
2,1,108.81,109.14,2.06,55
2,1,109.14,109.45,2.05,55
1,0,109.45,109.45,2.05,55
0,1,109.45,109.54,2.05,55
0,0,109.45,108.75,2.04,55
1,1,108.75,108.84,2.05,55
2,0,108.84,108.82,2.05,55
0,0,108.82,108.82,2.05,55
4,0,108.82,108.82,2.05,55
2,1,108.82,108.84,2.05,55
0,1,108.84,108.84,2.05,55
1,1,108.84,108.84,2.05,55
1,1,108.84,108.87,2.06,55
4,1,108.87,109.01,2.03,55
2,1,109.01,109.01,2.03,55
1,1,109.01,109.04,2.03,55
3,1,109.04,109.27,2.02,55
3,1,109.04,109.27,2.02,55
1,1,109.27,109.27,2.02,55
0,0,109.27,109.27,2.02,55
0,0,109.27,109.27,2.02,55
0,0,109.27,109.09,2.02,55
0,0,109.09,109.09,2.02,55
1,1,109.09,109.16,2.02,55
1,0,109.16,109.16,2.03,55
0,0,109.16,109.03,2.02,55
1,0,109.03,109.03,2.02,55
0,0,109.03,109.01,2.03,55
0,1,109.01,109.1,2.03,55
0,0,109.1,109.1,2.03,55
0,0,109.1,109.1,2.03,55
0,0,109.1,109.1,2.03,55
0,0,109.1,109.08,2.03,55
0,0,109.08,109.08,2.03,55
0,1,109.08,109.24,2.04,55
0,1,109.08,109.24,2.04,55
2,1,109.24,109.56,2.02,55
1,1,109.56,109.6,2.02,55
1,0,109.6,109.6,2.02,55
2,0,109.6,109.56,2.02,55
0,0,109.56,109.44,2.02,55
0,0,109.44,109.43,2.02,55
1,0,109.43,109.43,2.02,55
0,0,109.43,109.14,2.02,55
0,0,109.14,109.1,2.02,55
0,0,109.1,109.1,2.02,55
2,0,109.1,109.09,2.02,55
0,0,109.09,109.02,2.02,55
2,0,109.02,109.02,2.02,55
1,0,109.02,109.01,2.02,55
0,0,109.01,109.01,2.02,55
0,0,109.01,109.0,2.02,55
0,0,109.0,108.97,2.02,55
0,0,108.97,108.97,2.02,55
0,0,108.97,108.9,2.02,55
0,0,108.9,108.9,2.02,55
3,1,108.9,110.02,1.96,55
0,0,110.02,110.02,1.96,55
2,0,110.02,110.02,1.97,55
1,0,110.02,109.64,1.96,55
