kills,win,prev_rating,new_rating,new_sigma,file_number
1,0,110.0,104.61,49.74,54
1,0,110.0,104.61,49.74,54
0,0,104.61,98.96,49.23,54
1,0,98.96,96.61,49.14,54
1,0,98.96,96.61,49.14,54
1,0,98.96,96.61,49.14,54
0,0,96.61,93.97,48.49,54
0,0,93.97,90.37,47.72,54
0,0,93.97,90.37,47.72,54
0,0,93.97,90.37,47.72,54
1,0,90.37,89.02,47.56,54
1,0,90.37,89.02,47.56,54
1,0,90.37,89.02,47.56,54
0,0,89.02,87.21,47.32,54
0,0,89.02,87.21,47.32,54
0,0,89.02,87.21,47.32,54
2,1,87.21,145.25,38.86,54
0,0,145.25,139.71,38.15,54
0,1,139.71,142.17,38.11,54
2,0,142.17,140.78,38.09,54
0,0,140.78,135.61,37.51,54
0,0,140.78,135.61,37.51,54
0,0,140.78,135.61,37.51,54
0,1,135.61,136.87,37.5,54
0,1,135.61,136.87,37.5,54
0,1,135.61,136.87,37.5,54
0,0,136.87,135.03,37.06,54
0,0,135.03,126.34,36.53,54
0,0,135.03,126.34,36.53,54
0,0,135.03,126.34,36.53,54
0,0,126.34,63.63,31.95,55
0,0,126.34,63.63,31.95,55
0,0,63.63,37.24,28.16,55
0,1,37.24,37.24,28.16,55
0,1,37.24,37.24,28.16,55
0,1,37.24,37.24,28.16,55
1,1,37.24,85.89,25.1,55
1,1,85.89,100.33,23.47,55
0,0,100.33,73.43,21.11,55
3,0,73.43,73.43,21.11,55
0,0,73.43,71.6,20.91,55
0,1,71.6,71.88,20.88,55
0,1,71.88,71.97,20.87,55
0,1,71.97,72.07,20.86,55
3,1,72.07,98.11,11.76,55
0,1,98.11,98.19,11.76,55
0,1,98.19,98.2,11.76,55
0,1,98.2,98.6,11.75,55
0,1,98.6,98.99,11.75,55
0,1,98.6,98.99,11.75,55
1,1,98.99,98.99,11.75,55
1,1,98.99,99.02,11.74,55
1,1,99.02,103.91,11.42,55
0,1,103.91,103.91,11.42,55
0,0,103.91,91.43,10.84,55
0,1,91.43,91.44,10.84,55
1,1,91.44,93.58,10.62,55
0,1,93.58,93.59,10.62,55
2,1,93.59,94.18,10.35,55
2,0,94.18,91.42,10.33,55
0,1,91.42,91.44,10.33,55
1,1,91.44,91.44,10.33,55
0,1,91.44,91.44,10.33,55
1,1,91.44,91.48,10.33,55
0,1,91.48,91.49,10.33,55
0,0,91.49,90.25,10.03,55
0,0,91.49,90.25,10.03,55
0,1,90.25,90.25,10.04,55
2,1,90.25,102.9,8.32,55
0,1,102.9,103.35,8.3,55
2,1,103.35,103.56,8.19,55
2,1,103.56,103.61,8.16,55
1,1,103.61,105.93,8.07,55
2,1,105.93,106.77,7.9,55
0,1,106.77,106.77,7.9,55
0,1,106.77,106.79,7.9,55
1,1,106.79,107.48,7.8,55
1,1,107.48,107.48,7.8,55
1,1,107.48,107.49,7.8,55
0,1,107.49,107.5,7.8,55
2,1,107.5,107.63,7.71,55
0,1,107.63,107.76,7.7,55
1,1,107.76,107.76,7.7,55
1,1,107.76,108.53,7.56,55
1,1,108.53,108.54,7.56,55
0,0,108.54,101.72,6.92,55
1,1,101.72,101.72,6.92,55
0,1,101.72,101.72,6.92,55
0,1,101.72,103.99,6.84,55
0,0,103.99,91.86,5.61,55
0,0,91.86,91.83,5.6,56
0,0,91.86,91.83,5.6,56
1,1,91.83,95.04,5.3,56
0,0,95.04,94.24,5.21,56
0,0,94.24,94.2,5.2,56
1,1,94.2,95.03,5.14,56
1,0,94.2,93.74,5.18,56
1,0,94.2,93.74,5.18,56
0,1,93.74,94.32,5.17,56
0,1,94.32,94.35,5.17,56
1,1,94.35,96.82,5.08,56
1,1,96.82,96.95,5.08,56
2,1,96.95,102.17,4.27,56
0,0,102.17,101.34,4.19,56
1,0,101.34,100.56,4.17,56
1,1,100.56,101.47,4.08,56
1,0,101.47,100.88,4.07,56
1,0,101.47,100.88,4.07,56
1,0,101.47,100.88,4.07,56
0,0,100.88,98.76,4.0,56
0,0,98.76,98.14,3.96,56
0,0,98.76,98.14,3.96,56
0,0,98.76,98.14,3.96,56
1,1,98.14,99.08,3.93,56
1,1,98.14,99.08,3.93,56
1,1,98.14,99.08,3.93,56
2,1,99.08,100.36,3.73,56
0,1,100.36,100.57,3.73,56
0,0,100.57,100.3,3.68,56
0,0,100.3,100.15,3.68,56
0,0,100.3,100.15,3.68,56
0,0,100.3,100.15,3.68,56
0,0,100.15,99.54,3.64,56
0,0,99.54,99.5,3.64,56
0,0,99.5,99.47,3.63,56
0,0,99.5,99.47,3.63,56
0,0,99.47,99.33,3.62,56
0,0,99.47,99.33,3.62,56
0,0,99.47,99.33,3.62,56
0,1,99.33,99.4,3.62,56
0,0,99.33,98.88,3.61,56
0,0,99.33,98.88,3.61,56
0,0,99.33,98.88,3.61,56
0,0,98.88,98.64,3.58,56
1,1,98.64,99.59,3.55,56
1,1,98.64,99.59,3.55,56
1,1,98.64,99.59,3.55,56
0,1,99.59,99.95,3.55,56
1,1,99.95,100.42,3.52,56
0,0,100.42,99.82,3.48,56
1,1,99.82,100.06,3.47,56
0,1,100.06,100.1,3.47,56
0,0,100.1,97.45,3.37,56
1,0,97.45,96.91,3.37,56
1,0,97.45,96.91,3.37,56
1,0,97.45,96.91,3.37,56
1,1,96.91,97.84,3.33,56
4,1,97.84,100.65,2.88,56
1,1,100.65,100.77,2.88,56
1,1,100.77,100.79,2.88,56
0,0,100.79,100.61,2.86,56
0,0,100.61,100.08,2.84,56
0,0,100.08,99.33,2.79,56
0,1,99.33,99.48,2.79,57
0,1,99.33,99.48,2.79,57
0,1,99.48,99.51,2.79,57
1,1,99.51,100.46,2.77,57
1,1,100.46,100.49,2.77,57
0,1,100.49,100.52,2.77,57
2,1,100.52,101.17,2.69,57
0,1,101.17,101.21,2.69,57
0,1,101.17,101.21,2.69,57
0,1,101.17,101.21,2.69,57
0,1,101.17,101.21,2.69,57
0,1,101.17,101.21,2.69,57
2,1,101.21,101.3,2.68,57
1,0,101.3,101.03,2.68,57
0,1,101.03,101.08,2.68,57
0,1,101.08,101.13,2.68,57
0,1,101.13,101.14,2.68,57
0,0,101.14,100.9,2.66,57
0,1,100.9,100.92,2.66,57
0,1,100.92,100.93,2.67,57
1,1,100.93,101.16,2.66,57
2,1,101.16,101.72,2.59,57
0,0,101.72,99.55,2.49,57
0,1,99.55,99.57,2.49,57
0,1,99.55,99.57,2.49,57
0,1,99.55,99.57,2.49,57
1,1,99.57,99.59,2.49,57
0,0,99.59,99.07,2.45,57
0,0,99.07,98.64,2.42,57
0,1,98.64,98.66,2.42,57
0,0,98.66,98.38,2.4,57
0,0,98.66,98.38,2.4,57
0,0,98.66,98.38,2.4,57
0,1,98.38,98.4,2.4,57
0,1,98.4,98.5,2.4,57
0,1,98.5,98.54,2.4,57
