kills,win,prev_rating,new_rating,new_sigma,file_number
0,0,110.0,108.0,49.73,54
0,0,110.0,108.0,49.73,54
0,1,108.0,116.67,49.56,54
0,0,116.67,107.66,48.08,54
2,1,107.66,136.46,43.0,54
0,0,136.46,123.41,41.54,54
0,0,123.41,117.26,40.79,54
1,1,117.26,121.32,40.66,54
1,0,121.32,120.52,40.58,54
1,0,120.52,116.69,40.49,54
0,1,116.69,124.4,40.13,54
1,1,124.4,148.78,32.69,54
0,0,148.78,114.23,25.31,54
0,0,114.23,95.33,18.21,54
1,1,95.33,115.72,12.67,54
0,0,115.72,115.58,12.64,54
0,0,115.58,115.26,12.55,54
0,0,115.26,115.03,12.48,54
0,0,115.03,114.86,12.42,54
1,1,114.86,124.9,11.83,54
1,1,124.9,128.16,10.85,54
1,1,128.16,130.68,9.89,54
0,0,130.68,119.8,8.33,54
1,0,119.8,119.51,8.3,54
1,1,119.51,119.54,8.27,54
0,0,119.54,113.23,7.47,54
2,1,113.23,113.44,7.29,54
0,0,113.44,110.78,6.78,54
0,0,110.78,109.29,6.43,54
0,1,109.29,110.55,6.39,54
1,1,110.55,110.86,6.26,54
0,1,110.86,111.13,6.24,54
2,1,111.13,111.23,6.15,54
0,1,111.23,111.43,6.14,54
1,1,111.43,111.44,6.14,55
1,1,111.44,111.56,6.07,55
0,1,111.56,111.72,6.06,55
0,0,111.72,103.0,5.36,55
0,0,103.0,93.57,4.61,55
0,0,93.57,93.52,4.59,55
0,0,93.52,93.48,4.57,55
0,0,93.48,93.43,4.56,55
0,0,93.43,89.6,4.09,55
0,0,89.6,89.21,3.94,55
2,1,89.21,91.78,3.51,55
0,1,91.78,92.0,3.5,55
0,0,92.0,91.96,3.49,55
0,0,91.96,91.94,3.48,55
0,0,91.94,91.49,3.39,55
0,0,91.49,91.47,3.39,55
1,0,91.47,91.47,3.39,55
1,0,91.47,91.46,3.39,55
1,0,91.46,90.64,3.36,55
0,0,90.64,90.63,3.36,55
0,0,90.63,89.44,3.25,55
1,0,89.44,89.44,3.25,55
0,0,89.44,89.44,3.25,55
0,1,89.44,89.74,3.24,55
0,0,89.74,89.73,3.24,55
1,0,89.73,89.63,3.23,55
0,0,89.63,89.63,3.23,55
1,0,89.63,89.62,3.23,55
1,0,89.62,89.62,3.23,55
0,1,89.62,90.07,3.22,55
0,0,90.07,90.06,3.22,55
0,0,90.06,90.04,3.21,55
0,0,90.04,88.32,3.01,55
0,0,88.32,88.12,2.95,55
0,1,88.12,88.46,2.94,55
2,1,88.46,89.99,2.72,55
0,0,89.99,89.67,2.67,55
0,0,89.67,89.65,2.67,55
0,0,89.65,89.38,2.63,55
1,0,89.38,89.23,2.62,55
0,0,89.23,89.02,2.58,55
0,0,89.02,89.02,2.58,55
1,0,89.02,89.01,2.58,55
0,0,89.01,88.99,2.58,55
0,0,89.01,88.99,2.58,55
1,0,88.99,88.91,2.58,55
0,1,88.91,89.03,2.58,55
0,1,88.91,89.03,2.58,55
0,1,88.91,89.03,2.58,55
0,1,89.03,89.22,2.58,55
0,1,89.22,89.29,2.58,55
0,1,89.29,89.29,2.58,55
1,1,89.29,89.3,2.59,55
1,1,89.3,89.3,2.59,55
1,0,89.3,89.25,2.59,55
0,1,89.25,89.25,2.59,55
0,1,89.25,89.25,2.59,55
0,1,89.25,89.25,2.59,55
0,1,89.25,89.25,2.59,55
0,1,89.25,89.26,2.59,55
0,1,89.26,89.27,2.59,55
0,1,89.27,89.27,2.6,55
1,1,89.27,89.56,2.59,55
2,1,89.56,89.56,2.6,55
1,0,89.56,89.45,2.6,55
1,0,89.56,89.45,2.6,55
1,0,89.56,89.45,2.6,55
0,0,89.45,89.27,2.6,55
0,1,89.27,89.27,2.6,55
3,1,89.27,92.33,2.47,55
2,1,92.33,92.71,2.46,55
0,0,92.71,92.42,2.46,55
0,0,92.42,92.42,2.46,55
0,0,92.42,92.39,2.46,55
2,1,92.39,92.42,2.46,55
1,1,92.42,92.42,2.46,55
1,1,92.42,92.43,2.46,55
0,1,92.43,92.45,2.47,55
0,1,92.45,92.45,2.47,55
1,1,92.45,92.45,2.47,55
0,1,92.45,92.47,2.47,55
1,1,92.47,92.52,2.47,55
1,1,92.47,92.52,2.47,55
0,1,92.52,92.52,2.47,55
0,1,92.52,92.52,2.47,55
2,1,92.52,93.11,2.45,55
1,1,93.11,93.11,2.45,55
2,0,93.11,93.03,2.46,55
0,1,93.03,93.03,2.46,55
0,1,93.03,93.07,2.46,55
0,1,93.07,93.07,2.46,55
0,1,93.07,93.07,2.46,55
0,0,93.07,91.92,2.45,55
0,1,91.92,91.92,2.45,55
0,1,91.92,91.92,2.46,55
0,1,91.92,91.92,2.46,55
0,1,91.92,91.92,2.46,55
1,1,91.92,91.93,2.46,55
1,0,91.93,91.6,2.46,55
1,0,91.93,91.6,2.46,55
1,0,91.93,91.6,2.46,55
0,0,91.6,91.3,2.45,55
1,0,91.3,91.27,2.45,55
0,1,91.27,91.27,2.45,55
0,1,91.27,91.37,2.45,55
2,1,91.37,91.66,2.43,55
0,1,91.66,91.66,2.43,55
0,1,91.66,91.66,2.43,55
1,1,91.66,91.87,2.43,55
1,1,91.87,91.9,2.43,55
1,1,91.9,91.9,2.43,55
0,1,91.9,91.9,2.43,55
0,1,91.9,91.92,2.44,55
0,1,91.92,91.92,2.44,55
1,1,91.92,91.92,2.44,55
2,1,91.92,91.92,2.44,55
0,1,91.92,91.93,2.44,55
0,1,91.93,91.94,2.44,55
0,1,91.94,91.94,2.44,55
2,1,91.94,92.15,2.41,55
0,1,92.15,92.15,2.41,55
0,0,92.15,91.46,2.39,55
0,1,91.46,91.46,2.4,55
0,1,91.46,91.46,2.4,55
1,1,91.46,92.2,2.37,55
1,1,92.2,93.46,2.34,55
1,1,92.2,93.46,2.34,55
0,1,93.46,93.46,2.34,55
0,1,93.46,93.46,2.34,55
0,1,93.46,93.46,2.34,55
0,0,93.46,91.94,2.29,55
0,1,91.94,91.94,2.29,55
1,1,91.94,92.2,2.27,55
0,1,92.2,92.2,2.27,55
1,1,92.2,92.23,2.26,55
0,0,92.23,91.67,2.23,55
0,0,91.67,90.73,2.18,55
0,1,90.73,90.85,2.18,56
1,1,90.85,90.99,2.18,56
0,1,90.99,91.02,2.18,56
1,1,91.02,91.11,2.18,56
1,1,91.02,91.11,2.18,56
1,1,91.02,91.11,2.18,56
2,1,91.11,92.82,2.09,56
0,1,92.82,92.85,2.09,56
0,1,92.85,92.88,2.09,56
3,1,92.88,94.7,1.96,56
1,1,94.7,94.74,1.96,56
0,1,94.74,94.77,1.96,56
2,0,94.77,94.71,1.96,56
0,1,94.71,94.77,1.97,56
0,0,94.77,94.24,1.93,56
2,0,94.24,94.15,1.93,56
0,0,94.15,94.05,1.93,56
0,1,94.05,94.25,1.93,56
0,0,94.05,93.36,1.91,56
0,0,93.36,93.31,1.91,56
0,0,93.31,92.93,1.88,56
0,1,92.93,92.96,1.88,56
0,0,92.96,92.89,1.87,56
0,0,92.89,92.76,1.86,56
0,0,92.76,92.7,1.86,56
0,0,92.7,92.45,1.85,56
1,0,92.45,92.45,1.85,56
0,1,92.45,92.58,1.85,56
0,0,92.58,92.48,1.85,56
0,0,92.48,92.48,1.85,56
0,1,92.48,92.52,1.86,56
0,0,92.48,92.32,1.85,56
0,1,92.32,92.4,1.85,56
1,1,92.4,92.4,1.85,56
2,1,92.4,93.27,1.83,56
0,1,93.27,93.27,1.83,56
0,1,93.27,93.37,1.83,56
1,0,93.37,93.31,1.83,56
1,0,93.31,93.16,1.83,56
1,1,93.16,93.34,1.82,56
0,0,93.34,93.01,1.82,56
0,0,93.34,93.01,1.82,56
0,0,93.01,92.59,1.81,56
0,0,92.59,92.46,1.81,56
1,1,92.46,92.66,1.81,56
0,1,92.66,92.7,1.81,56
0,1,92.7,92.75,1.81,56
1,0,92.75,92.72,1.82,56
1,0,92.72,92.71,1.82,56
2,0,92.71,92.69,1.82,56
0,0,92.69,92.68,1.82,56
0,0,92.68,92.67,1.82,56
1,0,92.67,92.66,1.82,56
1,1,92.66,92.71,1.83,56
1,0,92.66,92.62,1.83,56
0,0,92.62,92.56,1.82,56
0,1,92.56,92.65,1.83,56
2,1,92.65,93.35,1.79,56
1,1,93.35,93.47,1.79,56
0,0,93.47,93.31,1.79,56
1,1,93.31,93.37,1.79,56
0,1,93.37,93.39,1.79,56
2,0,93.39,93.29,1.79,56
0,0,93.29,92.88,1.79,56
1,1,92.88,93.14,1.78,56
0,1,93.14,93.15,1.79,56
1,1,93.15,93.2,1.79,56
0,1,93.2,93.2,1.79,56
0,0,93.2,93.13,1.79,56
0,0,93.13,92.93,1.78,56
0,0,92.93,92.91,1.78,57
0,0,92.93,92.91,1.78,57
0,0,92.91,92.87,1.78,57
0,0,92.87,92.86,1.78,57
0,0,92.87,92.86,1.78,57
0,0,92.87,92.86,1.78,57
0,0,92.86,92.82,1.77,57
1,0,92.82,92.64,1.77,57
0,0,92.64,92.48,1.76,57
1,1,92.48,93.03,1.74,57
0,0,93.03,92.84,1.71,57
1,0,92.84,92.67,1.71,57
2,1,92.67,93.81,1.66,57
0,0,93.81,93.59,1.65,57
0,0,93.59,93.4,1.63,57
1,0,93.4,93.34,1.64,57
0,0,93.34,92.8,1.62,57
1,0,92.8,92.62,1.62,57
0,1,92.62,92.65,1.63,57
0,0,92.62,92.51,1.62,57
0,1,92.51,92.55,1.62,57
0,1,92.55,92.57,1.63,57
1,1,92.57,92.71,1.62,57
0,1,92.71,92.72,1.63,57
2,1,92.72,93.59,1.59,57
0,1,93.59,93.6,1.59,57
1,1,93.6,93.62,1.59,57
1,1,93.62,93.7,1.59,57
1,1,93.7,93.74,1.6,57
1,1,93.7,93.74,1.6,57
0,1,93.74,93.75,1.6,57
0,0,93.75,93.48,1.59,57
1,1,93.48,93.53,1.59,57
1,1,93.53,93.58,1.59,57
1,1,93.58,93.59,1.6,57
0,0,93.59,93.51,1.59,57
0,1,93.51,93.51,1.6,57
0,1,93.51,93.52,1.6,57
3,1,93.52,94.12,1.55,57
2,1,94.12,94.31,1.53,57
2,0,94.31,94.21,1.54,57
1,1,94.21,94.23,1.54,57
1,1,94.21,94.23,1.54,57
1,1,94.21,94.23,1.54,57
2,1,94.23,94.25,1.54,57
0,0,94.25,94.05,1.53,57
0,0,94.05,93.88,1.52,57
0,1,93.88,93.89,1.53,57
0,0,93.89,93.78,1.52,57
1,1,93.78,93.8,1.53,57
2,1,93.8,94.09,1.51,57
2,1,94.09,94.22,1.5,57
1,0,94.22,94.13,1.5,57
1,1,94.13,94.14,1.5,57
0,1,94.14,94.15,1.5,57
1,1,94.15,94.54,1.49,57
1,0,94.15,93.98,1.5,57
0,1,93.98,94.03,1.5,57
0,1,94.03,94.05,1.51,57
1,1,94.05,94.27,1.49,57
0,1,94.27,94.29,1.5,57
2,1,94.29,94.89,1.46,57
0,1,94.89,94.9,1.46,57
0,0,94.9,94.69,1.45,57
0,1,94.69,94.71,1.45,57
0,1,94.71,94.72,1.45,57
1,1,94.72,94.87,1.44,57
0,0,94.87,94.57,1.43,57
0,1,94.57,94.59,1.43,57
0,1,94.57,94.59,1.43,57
0,1,94.57,94.59,1.43,57
1,1,94.59,94.77,1.42,57
0,0,94.77,94.53,1.4,57
0,1,94.53,94.54,1.41,57
1,0,94.54,94.34,1.4,57
0,1,94.34,94.36,1.41,57
0,1,94.36,94.37,1.41,57
1,1,94.37,94.57,1.4,57
1,1,94.57,94.74,1.39,57
0,1,94.74,94.75,1.39,57
0,0,94.75,94.5,1.38,57
0,0,94.5,94.24,1.37,57
0,0,94.24,94.02,1.35,57
2,1,94.02,94.72,1.32,57
2,0,94.02,93.97,1.35,57
1,1,93.97,94.15,1.35,57
1,0,94.15,93.98,1.35,57
0,0,93.98,93.82,1.34,57
0,0,93.82,93.61,1.33,57
0,1,93.61,93.62,1.34,57
0,1,93.62,93.63,1.34,57
0,1,93.63,93.65,1.34,57
1,1,93.65,93.84,1.33,57
0,0,93.84,93.69,1.33,58
0,0,93.69,93.57,1.32,58
0,0,93.57,93.41,1.3,58
0,1,93.41,93.44,1.31,58
0,1,93.41,93.44,1.31,58
0,1,93.44,93.47,1.31,58
0,1,93.47,93.48,1.31,58
0,0,93.48,93.42,1.31,58
0,0,93.42,93.27,1.31,58
0,0,93.27,93.21,1.31,58
1,1,93.21,93.27,1.31,58
2,1,93.27,93.79,1.3,58
2,1,93.27,93.79,1.3,58
1,1,93.79,93.89,1.3,58
1,1,93.89,93.94,1.3,58
0,1,93.94,93.97,1.31,58
0,1,93.97,93.99,1.31,58
0,1,93.99,94.0,1.31,58
0,0,94.0,93.85,1.31,58
1,0,93.85,93.84,1.31,58
0,0,93.84,93.82,1.32,58
0,0,93.82,93.82,1.32,58
1,0,93.82,93.82,1.32,58
0,0,93.82,93.82,1.32,58
1,0,93.82,93.8,1.33,58
1,0,93.8,93.8,1.33,58
1,0,93.8,93.8,1.33,58
0,0,93.8,93.78,1.33,58
1,0,93.78,93.73,1.33,58
0,1,93.73,93.75,1.34,58
1,1,93.75,93.78,1.34,58
0,0,93.78,93.76,1.34,58
1,0,93.76,93.7,1.34,58
0,0,93.7,93.65,1.34,58
1,1,93.65,93.7,1.34,58
0,0,93.7,93.67,1.34,58
0,0,93.67,93.67,1.35,58
0,0,93.67,93.63,1.35,58
0,1,93.63,93.63,1.35,58
0,0,93.63,93.61,1.35,58
0,1,93.61,93.62,1.35,58
0,1,93.62,93.67,1.36,58
0,1,93.67,93.67,1.36,58
1,1,93.67,93.76,1.36,58
1,1,93.76,93.83,1.36,58
0,0,93.83,93.78,1.36,58
0,1,93.78,93.8,1.36,58
0,0,93.8,93.61,1.36,58
1,0,93.61,93.6,1.36,58
0,1,93.6,93.61,1.36,58
0,1,93.61,93.73,1.36,58
0,0,93.61,93.47,1.36,58
0,0,93.47,93.45,1.37,59
0,0,93.47,93.45,1.37,59
1,1,93.45,93.81,1.36,59
1,0,93.45,93.33,1.37,59
0,0,93.33,93.29,1.37,59
0,0,93.29,93.25,1.37,59
0,0,93.25,93.18,1.36,59
0,0,93.18,93.14,1.36,59
0,0,93.14,93.1,1.36,59
0,1,93.1,93.2,1.36,59
0,1,93.2,93.3,1.36,59
0,0,93.3,93.23,1.36,59
0,0,93.23,93.15,1.36,59
0,1,93.15,93.26,1.36,59
0,0,93.26,93.21,1.36,59
1,1,93.21,93.49,1.35,59
1,0,93.21,93.08,1.36,59
0,1,93.08,93.1,1.36,59
0,0,93.1,92.98,1.36,59
0,0,92.98,92.86,1.36,59
1,1,92.86,92.88,1.36,59
0,0,92.88,92.79,1.36,59
0,0,92.79,92.54,1.35,59
0,0,92.54,92.3,1.34,59
0,0,92.3,92.13,1.34,59
0,0,92.13,92.0,1.34,59
