kills,win,prev_rating,new_rating,new_sigma,file_number
0,1,110.0,113.28,49.9,54
0,1,113.28,116.04,49.78,54
4,1,116.04,142.03,37.02,54
2,1,142.03,144.72,36.11,54
1,1,144.72,146.37,35.89,54
1,1,146.37,147.52,35.74,54
0,1,147.52,147.63,35.74,54
2,0,147.63,144.63,35.71,54
1,1,144.63,146.63,35.61,54
0,0,146.63,136.07,34.73,54
0,1,136.07,138.34,34.68,54
2,1,138.34,148.52,32.14,54
3,0,148.52,148.13,32.14,54
0,1,148.13,148.22,32.14,54
0,1,148.22,149.38,32.13,54
0,0,149.38,102.52,27.34,55
0,0,149.38,102.52,27.34,55
0,0,149.38,102.52,27.34,55
0,0,102.52,86.44,19.19,55
1,0,86.44,85.54,18.58,55
0,0,85.54,82.12,16.22,55
0,0,82.12,79.74,14.39,55
0,0,79.74,77.55,13.04,55
0,0,77.55,77.39,12.89,55
1,1,77.39,106.07,8.25,55
1,1,106.07,114.0,6.74,55
1,1,114.0,119.49,6.3,55
1,1,119.49,119.95,6.29,55
1,0,119.95,119.66,6.28,55
0,1,119.66,119.69,6.28,55
0,1,119.66,119.69,6.28,55
0,1,119.69,119.9,6.28,55
0,1,119.9,119.95,6.28,55
2,0,119.95,119.73,6.28,55
0,0,119.73,118.59,6.23,55
0,0,118.59,118.44,6.21,55
0,0,118.44,117.84,6.19,55
0,0,117.84,117.77,6.18,55
0,0,117.84,117.77,6.18,55
0,1,117.77,117.96,6.18,55
0,1,117.96,118.12,6.18,55
0,1,118.12,118.17,6.18,55
2,1,118.17,118.96,6.13,55
0,0,118.96,118.58,6.12,55
1,0,118.58,117.32,6.1,55
1,0,117.32,117.3,6.1,55
0,0,117.3,117.23,6.1,55
1,0,117.23,117.21,6.1,55
0,0,117.21,116.62,6.04,55
2,0,116.62,116.62,6.04,55
2,0,116.62,116.61,6.04,55
0,0,116.61,116.59,6.03,55
0,0,116.59,116.58,6.03,55
2,1,116.58,118.62,5.8,55
0,0,118.62,118.57,5.8,55
1,1,118.57,120.13,5.77,55
0,0,120.13,119.27,5.68,55
0,0,119.27,118.74,5.58,55
0,1,118.74,119.06,5.57,55
0,0,119.06,119.0,5.57,55
0,0,119.0,118.91,5.56,55
0,0,118.91,117.87,5.49,55
0,0,117.87,115.52,5.44,55
0,0,117.87,115.52,5.44,55
1,0,115.52,114.96,5.43,55
1,0,114.96,114.76,5.43,55
1,0,114.76,114.69,5.42,55
1,0,114.69,114.67,5.42,55
0,0,114.67,114.67,5.42,55
0,1,114.67,114.74,5.42,55
0,0,114.74,114.72,5.42,55
0,0,114.72,114.65,5.4,55
1,0,114.65,114.64,5.4,55
1,0,114.64,114.64,5.4,55
1,0,114.64,114.5,5.39,55
0,0,114.5,114.23,5.37,55
1,0,114.23,114.23,5.37,55
1,0,114.23,113.17,5.35,55
0,0,113.17,113.17,5.35,55
1,1,113.17,113.99,5.34,55
1,1,113.17,113.99,5.34,55
1,1,113.17,113.99,5.34,55
2,1,113.99,116.1,5.21,55
1,0,116.1,116.1,5.21,55
0,0,116.1,111.59,5.07,55
0,0,111.59,110.3,5.01,55
1,1,110.3,110.53,5.01,55
0,1,110.53,110.53,5.01,55
1,1,110.53,110.59,5.01,55
1,0,110.59,110.56,5.01,55
0,0,110.56,110.53,5.01,55
0,0,110.53,110.51,5.0,55
0,0,110.51,109.98,4.99,55
0,0,109.98,109.84,4.98,55
2,0,109.84,109.83,4.98,55
0,0,109.83,109.04,4.94,55
0,1,109.04,109.11,4.94,55
0,0,109.04,108.57,4.92,55
1,1,108.57,108.57,4.92,55
1,0,108.57,108.57,4.92,55
2,1,108.57,108.58,4.92,55
1,1,108.58,109.44,4.9,55
1,1,109.44,109.44,4.9,55
1,0,109.44,108.59,4.89,55
0,1,108.59,108.59,4.89,55
2,1,108.59,109.78,4.74,55
2,1,109.78,109.79,4.74,55
1,1,109.79,109.84,4.73,55
1,0,109.84,108.27,4.72,55
0,1,108.27,108.27,4.73,55
0,1,108.27,108.27,4.73,55
2,1,108.27,108.27,4.73,55
0,1,108.27,108.27,4.73,55
0,1,108.27,108.28,4.73,55
0,1,108.28,109.15,4.73,55
0,1,108.28,109.15,4.73,55
0,1,109.15,109.38,4.72,55
1,1,109.38,109.59,4.7,55
0,0,109.59,109.58,4.7,55
0,0,109.58,107.95,4.65,55
0,0,107.95,107.35,4.59,55
0,0,107.35,107.31,4.58,55
1,0,107.31,107.31,4.58,55
0,0,107.31,105.79,4.51,55
0,0,105.79,105.59,4.5,55
0,0,105.59,105.59,4.5,55
0,0,105.59,105.41,4.48,55
1,0,105.41,105.27,4.48,55
0,0,105.27,105.27,4.48,55
2,0,105.27,105.27,4.48,55
1,0,105.27,105.26,4.48,55
0,0,105.26,105.23,4.47,55
0,0,105.23,105.09,4.45,55
1,0,105.09,105.09,4.45,55
1,0,105.09,104.96,4.44,55
0,0,104.96,104.96,4.44,55
0,1,104.96,105.23,4.44,55
0,0,105.23,105.23,4.44,55
0,0,105.23,105.23,4.44,55
1,1,105.23,105.84,4.19,56
1,1,105.84,106.3,4.0,56
1,1,106.3,112.15,3.23,56
1,0,112.15,111.64,3.07,56
0,0,111.64,110.96,2.9,56
0,0,110.96,108.48,2.63,56
0,0,108.48,106.88,2.44,56
0,0,106.88,105.76,2.29,56
0,0,105.76,105.72,2.27,56
0,0,105.72,105.67,2.26,56
1,0,105.67,105.67,2.26,56
1,1,105.67,107.97,2.19,56
0,0,107.97,107.96,2.19,56
0,1,107.96,107.97,2.19,56
0,0,107.96,107.94,2.19,56
0,0,107.94,107.94,2.19,56
0,0,107.94,107.93,2.19,56
0,0,107.93,107.93,2.19,56
0,1,107.93,108.66,2.18,56
0,1,108.66,109.23,2.18,56
0,1,109.23,109.68,2.17,56
1,1,109.68,110.38,2.11,56
0,1,110.38,110.7,2.11,56
0,1,110.7,110.97,2.1,56
0,1,110.97,111.21,2.09,56
1,1,111.21,111.54,2.05,56
0,1,111.54,111.65,2.05,56
0,0,111.54,111.07,2.02,56
0,1,111.07,111.26,2.02,56
1,1,111.26,111.53,1.99,56
0,0,111.53,111.1,1.96,56
1,1,111.1,111.37,1.93,56
0,0,111.37,110.99,1.91,56
0,1,110.99,111.17,1.91,56
1,1,111.17,111.42,1.88,56
1,1,111.42,111.64,1.85,56
0,0,111.64,111.26,1.83,56
0,0,111.26,110.92,1.82,56
0,0,110.92,110.61,1.8,56
0,1,110.61,110.62,1.8,56
0,0,110.61,110.57,1.8,56
1,1,110.57,110.97,1.78,56
1,0,110.97,110.86,1.77,56
0,1,110.86,110.97,1.77,56
0,0,110.97,110.65,1.76,56
0,1,110.65,110.78,1.76,56
0,0,110.78,110.47,1.73,56
0,0,110.47,110.18,1.71,56
0,0,110.18,109.9,1.7,56
0,0,109.9,109.71,1.68,56
1,0,109.71,109.62,1.68,56
0,0,109.62,109.4,1.67,56
0,1,109.4,109.48,1.67,56
0,0,109.4,109.17,1.65,56
0,0,109.17,109.02,1.64,56
0,0,109.02,108.83,1.63,56
0,0,108.83,108.67,1.61,56
0,0,108.67,108.56,1.6,56
0,1,108.56,108.66,1.6,56
1,1,108.66,109.21,1.59,56
1,0,109.21,109.2,1.6,56
0,0,109.2,109.06,1.59,56
0,1,109.06,109.16,1.59,56
0,1,109.16,109.3,1.59,56
0,1,109.3,109.44,1.59,56
0,1,109.44,109.56,1.59,56
0,0,109.44,109.04,1.58,56
0,0,109.04,108.97,1.57,56
0,0,108.97,108.86,1.57,56
0,0,108.86,108.76,1.56,56
0,0,108.76,108.65,1.56,56
0,1,108.65,108.77,1.56,56
0,1,108.77,108.88,1.56,56
0,0,108.88,108.79,1.56,56
0,0,108.79,108.62,1.55,56
1,1,108.62,108.92,1.54,56
0,1,108.92,109.08,1.54,56
1,1,109.08,109.3,1.53,56
0,1,109.3,109.35,1.53,56
0,0,109.3,109.09,1.52,56
1,1,109.09,109.39,1.51,56
0,0,109.39,109.23,1.51,56
0,0,109.23,109.08,1.5,56
1,1,109.08,109.32,1.49,56
0,0,109.32,109.22,1.49,56
0,0,109.22,109.06,1.48,56
0,0,109.06,108.96,1.48,56
1,0,108.96,108.91,1.48,56
0,1,108.91,109.0,1.48,56
0,0,109.0,108.86,1.48,56
0,0,108.86,108.76,1.47,56
2,1,108.76,108.93,1.45,56
2,0,108.76,108.74,1.47,56
0,0,108.74,108.61,1.47,56
1,0,108.61,108.59,1.47,56
1,1,108.59,108.89,1.46,56
0,1,108.89,109.02,1.46,56
0,0,109.02,108.91,1.46,56
0,0,108.91,108.72,1.45,56
1,0,108.72,108.67,1.46,56
0,0,108.67,108.55,1.45,56
0,0,108.55,108.38,1.45,56
0,0,108.38,108.23,1.44,56
0,0,108.23,108.15,1.44,56
0,1,108.15,108.19,1.44,56
0,0,108.15,108.01,1.43,56
0,1,108.01,108.09,1.44,56
0,1,108.09,108.22,1.44,56
0,1,108.22,108.32,1.44,56
0,0,108.32,108.19,1.43,56
0,1,108.19,108.26,1.44,56
0,0,108.26,108.15,1.43,56
1,1,108.15,108.42,1.42,56
1,1,108.42,108.64,1.42,56
1,1,108.64,108.87,1.41,56
0,0,108.87,108.69,1.41,56
0,1,108.69,108.72,1.41,56
0,1,108.69,108.72,1.41,56
1,1,108.72,108.77,1.41,56
0,1,108.77,108.77,1.41,56
1,1,108.77,108.82,1.41,56
1,1,108.82,108.85,1.41,56
1,1,108.85,108.88,1.41,56
0,1,108.88,108.9,1.41,56
2,1,108.9,109.04,1.4,56
1,1,109.04,109.11,1.39,56
1,1,109.11,109.2,1.39,56
0,1,109.2,109.22,1.39,56
2,1,109.22,109.38,1.38,56
0,1,109.38,109.46,1.38,56
0,1,109.46,109.49,1.38,56
0,0,109.46,109.27,1.38,56
0,0,109.27,109.07,1.38,56
1,1,109.07,109.17,1.38,56
2,1,109.17,109.59,1.35,56
0,0,109.59,109.42,1.35,56
1,0,109.42,109.29,1.35,56
0,0,109.29,109.22,1.35,56
0,0,109.22,109.1,1.35,56
0,0,109.1,108.8,1.34,56
0,0,108.8,108.72,1.34,56
0,0,108.72,108.66,1.34,56
1,0,108.66,108.49,1.35,56
1,0,108.49,108.48,1.35,56
0,0,108.48,108.41,1.35,56
2,1,108.41,108.67,1.33,56
0,0,108.67,108.56,1.33,56
0,1,108.56,108.6,1.33,56
1,1,108.6,108.82,1.33,56
2,1,108.82,108.9,1.32,56
1,1,108.9,109.16,1.32,56
1,0,108.9,108.78,1.32,56
2,1,108.78,108.83,1.32,56
0,1,108.83,108.86,1.32,56
0,0,108.86,108.75,1.32,56
0,1,108.75,108.76,1.32,56
0,1,108.76,108.77,1.32,56
0,1,108.77,108.78,1.33,56
0,0,108.78,108.66,1.33,56
0,0,108.78,108.66,1.33,56
0,0,108.66,108.65,1.33,56
0,1,108.65,108.72,1.33,56
0,0,108.72,108.67,1.33,56
1,0,108.67,108.67,1.33,56
2,1,108.67,108.82,1.33,56
2,0,108.67,108.66,1.34,56
1,1,108.66,108.76,1.34,56
4,1,108.76,108.85,1.33,56
0,1,108.85,108.91,1.33,56
0,1,108.91,108.92,1.33,56
0,1,108.92,108.97,1.33,56
0,0,108.97,108.88,1.33,56
0,0,108.88,108.67,1.33,56
1,1,108.67,108.76,1.33,56
0,0,108.76,108.59,1.33,56
0,0,108.76,108.59,1.33,56
0,0,108.76,108.59,1.33,56
1,0,108.59,108.51,1.33,56
0,0,108.51,108.44,1.33,56
1,1,108.44,108.55,1.33,56
0,1,108.55,108.57,1.34,56
0,1,108.57,108.59,1.34,56
0,0,108.59,108.56,1.34,56
0,0,108.56,108.54,1.34,56
1,0,108.54,108.51,1.34,56
0,0,108.51,108.5,1.35,56
0,0,108.5,108.5,1.35,56
0,0,108.5,108.48,1.35,56
0,1,108.48,108.49,1.35,56
0,0,108.48,108.42,1.35,56
0,0,108.42,108.38,1.35,56
2,1,108.38,108.75,1.35,56
1,1,108.75,108.89,1.35,56
2,1,108.89,109.08,1.34,56
0,0,109.08,108.99,1.34,56
0,1,108.99,109.01,1.34,56
1,1,109.01,109.02,1.34,56
1,0,109.02,108.88,1.34,56
0,0,108.88,108.65,1.34,56
0,0,108.88,108.65,1.34,56
0,0,108.88,108.65,1.34,56
1,1,108.65,108.79,1.34,56
1,1,108.79,108.81,1.35,56
0,1,108.81,108.82,1.35,56
3,1,108.82,108.87,1.34,56
1,0,108.87,108.85,1.35,56
0,0,108.85,108.73,1.35,56
1,0,108.73,108.67,1.35,56
0,0,108.67,108.48,1.35,57
0,0,108.67,108.48,1.35,57
0,0,108.67,108.48,1.35,57
0,1,108.48,108.5,1.35,57
1,0,108.5,108.43,1.35,57
0,1,108.43,108.44,1.35,57
1,1,108.44,108.47,1.35,57
1,0,108.47,108.32,1.35,57
1,0,108.32,108.18,1.35,57
1,1,108.18,108.2,1.35,57
1,0,108.18,108.16,1.35,57
0,1,108.16,108.22,1.35,57
0,0,108.22,107.79,1.35,57
0,0,107.79,107.67,1.34,57
0,0,107.67,107.62,1.33,57
2,1,107.62,107.69,1.33,57
0,1,107.69,107.75,1.33,57
0,0,107.75,107.36,1.32,57
0,0,107.36,107.02,1.31,57
1,0,107.02,106.93,1.31,57
2,1,106.93,107.21,1.29,57
0,0,107.21,107.0,1.28,57
1,1,107.0,107.19,1.28,57
1,0,107.0,106.93,1.29,57
1,1,106.93,107.1,1.28,57
0,1,107.1,107.12,1.28,57
1,1,107.12,107.2,1.28,57
0,1,107.2,107.23,1.28,57
1,1,107.23,107.36,1.28,57
0,1,107.36,107.4,1.28,57
0,0,107.4,107.15,1.27,57
0,1,107.15,107.17,1.27,57
2,1,107.17,107.23,1.26,57
1,1,107.23,107.43,1.26,57
1,1,107.43,107.46,1.27,57
1,0,107.43,107.38,1.27,57
2,1,107.38,107.48,1.26,57
1,1,107.48,107.51,1.26,57
0,1,107.51,107.51,1.27,57
0,1,107.51,107.52,1.27,57
1,1,107.52,107.55,1.27,57
1,1,107.55,107.58,1.27,57
0,1,107.58,107.58,1.27,57
0,1,107.58,107.59,1.28,57
3,1,107.59,107.63,1.27,57
0,0,107.63,107.39,1.27,57
1,1,107.39,107.43,1.27,57
2,1,107.43,107.48,1.27,57
1,0,107.48,107.38,1.26,57
1,0,107.38,107.3,1.27,57
0,1,107.3,107.33,1.27,57
2,1,107.33,107.62,1.26,57
2,0,107.33,107.3,1.27,57
2,1,107.3,107.41,1.26,57
0,0,107.41,107.27,1.26,57
0,0,107.27,106.92,1.25,57
0,0,106.92,106.72,1.24,57
0,0,106.72,106.63,1.24,57
1,1,106.63,106.71,1.24,57
0,1,106.71,106.74,1.24,57
1,0,106.74,106.72,1.24,57
0,0,106.72,106.48,1.24,57
0,0,106.48,106.48,1.24,57
1,0,106.48,106.47,1.24,57
1,0,106.47,106.47,1.24,57
1,0,106.47,106.47,1.24,57
1,0,106.47,106.47,1.24,57
1,0,106.47,106.46,1.25,57
0,0,106.46,106.22,1.23,57
0,0,106.22,106.15,1.23,57
1,1,106.15,106.41,1.23,57
2,0,106.41,106.4,1.23,57
0,0,106.4,106.17,1.22,57
1,1,106.17,106.38,1.22,57
0,0,106.38,106.26,1.22,57
0,0,106.26,106.16,1.21,57
0,0,106.16,106.07,1.21,57
0,0,106.07,105.77,1.21,57
1,0,105.77,105.67,1.21,57
0,1,105.67,105.69,1.22,57
0,0,105.67,105.61,1.21,57
0,1,105.61,105.63,1.22,57
3,1,105.63,105.8,1.2,57
0,0,105.8,105.7,1.2,57
0,0,105.8,105.7,1.2,57
0,0,105.7,105.66,1.2,57
0,0,105.66,105.37,1.2,57
0,0,105.37,105.36,1.2,57
0,0,105.36,105.33,1.2,57
0,0,105.33,105.25,1.21,57
2,0,105.25,105.24,1.21,57
0,0,105.24,105.22,1.21,57
0,1,105.22,105.23,1.21,57
0,0,105.23,105.17,1.21,57
0,0,105.17,105.11,1.21,57
1,0,105.11,105.1,1.22,57
3,1,105.1,105.26,1.2,57
1,0,105.26,105.25,1.21,57
0,0,105.25,105.21,1.21,57
0,0,105.21,105.09,1.21,57
0,0,105.09,105.02,1.21,57
0,1,105.02,105.11,1.21,57
0,0,105.11,105.1,1.21,57
0,0,105.1,105.08,1.21,57
1,1,105.08,105.15,1.21,57
1,1,105.15,105.21,1.21,57
1,0,105.21,105.2,1.22,57
1,1,105.2,105.26,1.22,57
0,0,105.26,105.22,1.22,57
0,0,105.22,105.13,1.22,57
1,0,105.13,105.11,1.22,57
2,1,105.11,105.36,1.21,57
0,0,105.36,105.34,1.21,57
0,0,105.34,105.32,1.21,57
0,1,105.32,105.34,1.22,58
0,1,105.32,105.34,1.22,58
0,0,105.34,105.19,1.22,58
0,0,105.34,105.19,1.22,58
0,0,105.34,105.19,1.22,58
0,0,105.19,105.07,1.22,58
1,0,105.07,105.0,1.22,58
0,0,105.0,104.89,1.22,58
0,0,104.89,104.75,1.22,58
1,0,104.75,104.73,1.22,58
0,1,104.73,104.73,1.22,58
1,1,104.73,104.85,1.22,58
0,1,104.85,104.87,1.22,58
1,0,104.87,104.8,1.23,58
1,0,104.8,104.73,1.23,58
1,0,104.8,104.73,1.23,58
1,0,104.8,104.73,1.23,58
0,0,104.73,104.62,1.23,58
2,0,104.62,104.61,1.23,58
1,0,104.61,104.57,1.23,58
0,0,104.57,104.49,1.23,58
0,0,104.49,104.44,1.23,58
1,1,104.44,104.49,1.24,58
1,1,104.49,104.49,1.24,58
1,1,104.49,104.5,1.24,58
4,1,104.5,104.56,1.24,58
1,1,104.56,104.57,1.24,58
0,1,104.57,104.58,1.25,58
0,0,104.57,104.54,1.25,58
1,1,104.54,104.54,1.25,58
0,1,104.54,104.55,1.25,58
0,1,104.55,104.55,1.25,58
0,1,104.55,104.55,1.26,58
3,1,104.55,104.55,1.26,58
1,1,104.55,104.56,1.26,58
1,1,104.56,104.56,1.26,58
0,1,104.56,104.57,1.27,58
1,1,104.57,104.68,1.27,58
0,0,104.68,104.58,1.27,58
0,0,104.58,104.51,1.27,58
1,1,104.51,104.52,1.27,58
1,1,104.52,104.58,1.27,58
1,1,104.58,104.6,1.27,58
0,0,104.6,104.49,1.27,58
0,1,104.49,104.49,1.27,58
0,1,104.49,104.49,1.28,58
0,1,104.49,104.5,1.28,58
0,1,104.5,104.5,1.28,58
0,0,104.5,104.48,1.28,58
0,0,104.48,104.41,1.28,58
0,0,104.41,104.22,1.28,58
0,0,104.22,104.16,1.28,58
0,0,104.16,104.05,1.28,58
0,0,104.05,103.96,1.28,58
0,1,103.96,103.96,1.29,58
0,0,103.96,103.87,1.28,58
0,1,103.87,103.91,1.29,58
0,1,103.91,103.91,1.29,58
0,0,103.91,103.84,1.29,58
