kills,win,prev_rating,new_rating,new_sigma,file_number
1,1,110.0,130.58,45.63,55
1,1,110.0,130.58,45.63,55
1,1,110.0,130.58,45.63,55
2,1,130.58,143.29,40.48,55
2,1,130.58,143.29,40.48,55
0,1,143.29,151.94,39.2,55
1,1,151.94,157.33,35.88,55
0,0,157.33,105.93,26.02,55
0,0,105.93,86.21,22.05,55
0,0,86.21,84.31,21.14,55
1,0,84.31,81.77,21.03,55
0,0,81.77,80.9,20.79,55
0,0,81.77,80.9,20.79,55
2,1,80.9,97.49,18.73,55
1,1,97.49,101.37,17.26,55
1,1,101.37,102.5,17.12,55
0,1,102.5,103.31,17.1,55
2,0,103.31,102.92,17.1,55
1,0,102.92,93.09,16.68,55
0,0,93.09,92.72,16.54,55
1,0,92.72,92.51,16.52,55
0,0,92.51,92.08,16.34,55
2,0,92.08,91.51,16.31,55
0,0,91.51,91.46,16.28,55
0,0,91.46,90.85,15.97,55
0,0,90.85,90.7,15.92,55
0,0,90.7,90.64,15.9,55
0,1,90.64,92.55,15.82,55
0,0,92.55,92.24,15.74,55
1,1,92.24,103.68,15.05,55
1,0,103.68,101.53,14.84,55
2,0,101.53,101.04,14.81,55
0,1,101.04,103.28,14.73,55
0,0,103.28,102.91,14.61,55
2,0,102.91,102.83,14.6,55
0,0,102.83,95.65,13.25,55
0,0,95.65,92.38,12.51,55
0,0,95.65,92.38,12.51,55
0,0,92.38,91.32,12.1,55
2,0,91.32,91.3,12.1,55
0,0,91.3,91.3,12.1,55
3,1,91.3,98.38,9.0,55
0,0,98.38,98.31,8.97,55
1,0,98.31,98.24,8.96,55
0,0,98.24,98.22,8.95,55
1,0,98.22,98.22,8.95,55
0,0,98.22,97.13,8.65,55
0,0,97.13,96.46,8.54,55
0,0,96.46,96.46,8.54,55
1,0,96.46,93.77,8.46,55
0,0,93.77,93.76,8.46,55
0,1,93.76,94.51,8.46,55
0,1,93.76,94.51,8.46,55
0,1,93.76,94.51,8.46,55
0,1,94.51,95.23,8.45,55
0,0,95.23,95.23,8.45,55
1,0,95.23,90.86,8.37,55
0,0,90.86,87.33,8.09,55
0,1,87.33,87.56,8.09,55
2,1,87.56,87.57,8.08,55
0,1,87.57,87.63,8.08,55
0,0,87.63,87.43,8.04,55
1,0,87.43,87.4,8.04,55
0,0,87.4,87.33,8.02,55
0,0,87.33,85.97,7.97,55
0,0,85.97,85.61,7.92,55
0,0,85.61,85.56,7.91,55
0,0,85.56,83.55,7.75,55
0,0,83.55,82.39,7.67,55
0,0,83.55,82.39,7.67,55
1,0,82.39,82.39,7.67,55
1,0,82.39,82.38,7.67,55
0,0,82.38,79.79,7.53,55
0,0,79.79,79.79,7.53,55
0,1,79.79,80.13,7.53,55
0,0,80.13,80.08,7.53,55
0,0,80.08,78.33,7.31,55
0,0,78.33,78.3,7.3,55
1,0,78.3,78.21,7.29,55
3,1,78.21,102.44,5.79,55
2,0,102.44,102.43,5.79,55
1,0,102.43,102.43,5.8,55
0,0,102.43,102.43,5.8,55
0,0,102.43,102.3,5.79,55
1,0,102.3,102.29,5.79,55
2,1,102.29,111.91,5.36,55
2,1,102.29,111.91,5.36,55
0,1,111.91,112.22,5.36,55
2,1,112.22,112.95,5.15,55
2,0,112.95,112.95,5.15,55
0,0,112.95,110.99,5.08,55
0,0,110.99,110.28,5.01,55
0,0,110.28,110.23,5.0,55
0,0,110.23,110.22,4.99,55
0,0,110.22,108.42,4.9,55
0,0,108.42,108.18,4.88,55
0,0,108.18,108.18,4.88,55
0,0,108.18,107.97,4.86,55
1,0,107.97,107.8,4.85,55
0,0,107.8,107.8,4.85,55
0,0,107.8,107.79,4.85,55
0,0,107.79,107.76,4.85,55
0,0,107.76,107.73,4.84,55
0,0,107.73,107.56,4.81,55
0,0,107.56,107.56,4.81,55
0,0,107.56,107.16,4.75,55
0,0,107.16,107.16,4.75,55
2,1,107.16,109.42,4.64,55
0,0,109.42,109.42,4.64,55
1,0,109.42,109.42,4.64,55
0,0,109.42,103.67,3.76,55
0,0,103.67,101.09,3.71,57
0,0,103.67,101.09,3.71,57
0,1,101.09,101.24,3.71,57
0,0,101.09,100.55,3.66,57
2,1,100.55,102.04,3.46,57
1,1,102.04,102.22,3.45,57
1,1,102.22,102.85,3.42,57
3,1,102.85,103.7,3.17,57
1,1,103.7,104.91,3.13,57
0,1,104.91,104.93,3.13,57
0,1,104.93,104.96,3.13,57
0,1,104.96,105.08,3.13,57
0,1,105.08,105.13,3.13,57
0,1,105.08,105.13,3.13,57
3,1,105.13,105.46,3.02,57
1,0,105.46,105.11,3.01,57
0,1,105.11,105.18,3.01,57
1,1,105.18,105.35,3.01,57
0,1,105.35,105.37,3.01,57
0,0,105.37,105.06,2.98,57
1,1,105.06,105.14,2.98,57
0,1,105.14,105.15,2.98,57
0,0,105.14,104.9,2.96,57
1,0,104.9,104.65,2.95,57
0,0,104.65,104.19,2.91,57
1,1,104.19,105.75,2.86,57
0,0,105.75,105.66,2.86,57
0,0,105.75,105.66,2.86,57
0,0,105.75,105.66,2.86,57
1,0,105.66,105.62,2.85,57
0,1,105.62,105.77,2.85,57
1,1,105.77,106.11,2.83,57
0,0,106.11,105.94,2.82,57
1,1,105.94,106.24,2.8,57
2,0,106.24,106.22,2.8,57
0,0,106.22,105.74,2.77,57
0,0,105.74,105.49,2.75,57
1,1,105.49,105.94,2.73,57
0,0,105.94,105.86,2.72,57
0,0,105.86,105.77,2.71,57
1,1,105.77,106.14,2.68,58
1,1,105.77,106.14,2.68,58
1,1,106.14,106.73,2.59,58
0,0,106.73,106.06,2.53,58
0,0,106.06,105.58,2.46,58
0,0,105.58,105.28,2.42,58
0,0,105.28,104.84,2.37,58
0,0,104.84,104.46,2.32,58
2,1,104.46,105.5,2.2,58
1,1,105.5,105.63,2.19,58
1,0,105.5,105.41,2.2,58
0,0,105.41,105.06,2.16,58
1,0,105.06,104.97,2.15,58
0,0,104.97,104.66,2.12,58
0,0,104.66,104.38,2.09,58
0,0,104.38,104.25,2.07,58
0,1,104.25,104.59,2.07,58
1,1,104.59,105.3,2.03,58
1,1,105.3,105.92,2.0,58
0,0,105.92,105.78,1.99,58
0,1,105.78,105.93,1.99,58
0,0,105.93,105.78,1.98,58
1,1,105.78,105.82,1.98,58
1,0,105.78,105.74,1.98,58
2,1,105.74,106.42,1.92,58
0,1,106.42,106.69,1.92,58
0,1,106.42,106.69,1.92,58
1,1,106.69,107.18,1.9,58
1,1,107.18,107.54,1.87,58
0,0,107.54,107.25,1.85,58
2,1,107.25,107.67,1.81,58
1,0,107.67,107.57,1.8,58
2,1,107.57,107.82,1.78,58
0,0,107.82,107.5,1.77,58
0,0,107.82,107.5,1.77,58
0,0,107.82,107.5,1.77,58
0,0,107.5,107.25,1.76,58
0,0,107.25,106.84,1.74,58
2,0,106.84,106.81,1.74,58
0,0,106.81,106.53,1.73,58
0,0,106.53,106.39,1.73,58
3,1,106.39,106.56,1.7,58
1,1,106.56,106.79,1.69,58
2,1,106.79,107.0,1.69,58
1,0,107.0,106.88,1.69,58
0,0,106.88,106.52,1.68,58
0,0,106.88,106.52,1.68,58
0,0,106.88,106.52,1.68,58
0,0,106.52,106.31,1.68,58
0,0,106.31,106.15,1.67,58
0,0,106.15,105.94,1.67,58
0,0,105.94,105.81,1.67,58
1,0,105.81,105.77,1.67,58
1,1,105.77,105.87,1.67,58
4,1,105.87,106.02,1.67,58
2,1,106.02,106.08,1.67,58
0,1,106.08,106.08,1.67,58
1,1,106.08,106.09,1.67,58
2,1,106.09,106.21,1.67,58
2,0,106.09,106.09,1.67,58
1,1,106.09,106.09,1.68,58
0,1,106.09,106.09,1.68,58
2,1,106.09,106.09,1.68,58
1,1,106.09,106.1,1.68,58
1,1,106.1,106.1,1.68,58
0,1,106.1,106.11,1.69,58
0,1,106.11,106.11,1.69,58
0,1,106.11,106.11,1.69,58
0,1,106.11,106.11,1.69,58
1,1,106.11,106.12,1.69,58
0,1,106.12,106.2,1.69,58
0,0,106.2,106.02,1.69,58
0,0,106.02,105.9,1.68,58
0,1,105.9,105.9,1.68,58
0,1,105.9,105.94,1.69,58
1,1,105.94,105.98,1.69,58
0,0,105.98,105.78,1.68,58
1,1,105.78,105.8,1.68,58
1,1,105.8,105.8,1.68,58
0,1,105.8,105.81,1.69,58
0,1,105.81,105.81,1.69,58
0,0,105.81,105.78,1.69,58
0,0,105.78,105.65,1.69,58
0,0,105.65,105.33,1.68,58
0,0,105.33,105.22,1.68,58
0,0,105.22,105.04,1.68,58
0,0,105.04,104.88,1.67,58
0,1,104.88,104.89,1.67,58
0,0,104.89,104.73,1.67,58
1,1,104.73,104.9,1.66,58
1,1,104.9,104.91,1.67,58
1,0,104.91,104.87,1.67,58
0,1,104.87,105.05,1.67,58
0,0,104.87,104.65,1.67,58
0,1,104.65,104.72,1.67,59
0,1,104.65,104.72,1.67,59
0,1,104.72,104.76,1.67,59
2,0,104.76,104.7,1.67,59
2,0,104.76,104.7,1.67,59
0,0,104.7,104.13,1.62,59
0,0,104.13,103.89,1.61,59
0,0,103.89,103.58,1.59,59
0,0,103.58,103.29,1.57,59
2,0,103.29,103.23,1.58,59
0,1,103.23,103.3,1.58,59
1,1,103.3,103.66,1.55,59
0,0,103.66,103.38,1.54,59
0,0,103.38,103.12,1.52,59
0,0,103.12,102.92,1.51,59
2,1,102.92,103.32,1.48,59
0,0,103.32,103.3,1.48,59
1,1,103.3,103.73,1.47,59
1,0,103.3,103.17,1.48,59
0,0,103.17,103.12,1.48,59
0,0,103.12,103.07,1.48,59
0,0,103.07,102.99,1.48,59
0,0,102.99,102.94,1.47,59
0,0,102.94,102.89,1.47,59
1,1,102.89,103.21,1.46,59
1,1,103.21,103.54,1.45,59
0,0,103.54,103.46,1.45,59
0,0,103.46,103.37,1.44,59
1,1,103.37,103.68,1.43,59
0,0,103.68,103.63,1.43,59
1,1,103.63,103.95,1.42,59
1,0,103.63,103.49,1.43,59
1,1,103.49,103.55,1.43,59
0,0,103.55,103.42,1.43,59
0,0,103.42,103.29,1.42,59
0,1,103.29,103.29,1.43,59
0,0,103.29,103.2,1.42,59
0,0,103.2,102.92,1.41,59
0,0,102.92,102.66,1.41,59
0,0,102.66,102.47,1.41,59
0,0,102.47,102.32,1.4,59
1,1,102.32,102.5,1.4,59
0,1,102.5,102.51,1.4,59
0,1,102.51,102.52,1.4,59
0,0,102.51,102.44,1.4,59
0,1,102.44,102.45,1.4,59
1,1,102.45,102.58,1.4,59
1,1,102.58,102.66,1.4,59
1,1,102.66,102.69,1.4,59
1,1,102.69,102.89,1.4,59
0,0,102.89,102.84,1.4,59
1,1,102.84,102.86,1.4,59
1,1,102.86,102.92,1.4,59
1,1,102.92,102.96,1.39,59
0,1,102.96,102.98,1.4,59
1,1,102.98,103.0,1.4,59
1,0,102.98,102.97,1.4,59
1,1,102.97,102.98,1.4,59
1,1,102.98,103.16,1.4,59
1,1,103.16,103.26,1.4,59
1,0,103.26,103.18,1.4,59
1,0,103.18,103.13,1.4,59
0,1,103.13,103.13,1.4,59
0,1,103.13,103.13,1.41,59
0,1,103.13,103.14,1.41,59
0,1,103.13,103.14,1.41,59
0,1,103.13,103.14,1.41,59
0,1,103.14,103.14,1.41,59
0,1,103.14,103.14,1.41,59
1,1,103.14,103.17,1.41,59
