kills,win,prev_rating,new_rating,new_sigma,file_number
0,0,110.0,83.64,42.54,56
0,0,110.0,83.64,42.54,56
1,0,83.64,53.42,31.6,56
0,0,53.42,51.0,29.58,56
2,0,51.0,50.71,29.52,56
2,0,50.71,49.45,29.37,56
2,1,49.45,83.01,20.87,56
2,0,49.45,45.41,29.26,56
1,0,45.41,39.6,27.21,56
0,1,39.6,59.87,25.53,56
0,1,59.87,78.35,23.67,56
0,1,78.35,86.02,22.47,56
3,0,86.02,84.81,22.44,56
2,1,84.81,111.69,12.77,56
2,1,111.69,116.16,10.6,56
1,0,116.16,107.08,10.21,56
1,1,107.08,111.74,10.14,56
1,1,107.08,111.74,10.14,56
1,1,107.08,111.74,10.14,56
0,0,111.74,100.99,8.14,56
1,0,100.99,99.28,8.08,56
0,0,99.28,97.52,7.76,56
1,0,97.52,97.34,7.73,56
2,1,97.34,98.73,7.4,56
0,1,98.73,99.29,7.39,56
3,1,99.29,106.45,5.41,56
1,0,106.45,104.2,5.25,56
1,1,104.2,107.02,4.93,57
1,1,104.2,107.02,4.93,57
0,0,107.02,104.58,4.29,57
0,0,104.58,103.19,3.91,57
1,1,103.19,106.05,3.46,57
1,1,106.05,107.76,3.16,57
1,1,107.76,108.9,2.95,57
0,0,108.9,107.5,2.75,57
1,1,107.5,108.44,2.6,57
0,0,108.44,107.38,2.46,57
0,0,107.38,106.58,2.34,57
0,0,106.58,105.95,2.25,57
1,1,105.95,106.8,2.15,57
0,0,106.8,106.23,2.08,57
1,1,106.23,106.89,2.01,57
1,0,106.23,105.99,2.07,57
0,0,105.99,105.51,2.01,57
0,0,105.51,105.1,1.95,57
0,0,105.1,104.75,1.9,57
0,0,104.75,104.44,1.86,57
1,0,104.44,104.31,1.86,57
2,1,104.31,104.49,1.83,57
0,0,104.49,104.16,1.79,57
2,1,104.16,104.34,1.76,57
1,1,104.34,104.39,1.76,57
0,0,104.39,103.67,1.71,57
0,0,103.67,103.06,1.66,57
0,1,103.06,103.07,1.66,57
0,0,103.06,103.01,1.66,57
2,1,103.01,103.59,1.61,57
0,0,103.59,102.98,1.59,57
1,0,102.98,102.92,1.59,57
0,0,102.92,102.85,1.59,57
0,1,102.85,102.87,1.59,57
2,1,102.87,103.43,1.55,57
0,0,103.43,102.91,1.53,57
0,0,102.91,102.44,1.52,57
0,0,102.44,102.1,1.49,57
0,1,102.1,102.15,1.49,57
0,0,102.15,101.87,1.48,57
1,1,101.87,102.12,1.47,57
1,0,101.87,101.78,1.48,57
1,1,101.78,102.0,1.47,57
2,1,102.0,102.26,1.44,57
1,1,102.26,102.36,1.44,57
2,1,102.36,102.59,1.42,57
1,1,102.59,102.75,1.41,57
2,1,102.75,103.07,1.38,57
0,0,103.07,102.77,1.37,57
2,1,102.77,102.96,1.35,57
0,1,102.96,102.97,1.35,57
2,1,102.97,103.59,1.34,57
3,1,103.59,103.89,1.33,57
3,0,103.59,103.58,1.34,57
1,1,103.58,103.62,1.34,57
2,1,103.62,103.72,1.33,57
3,1,103.72,103.82,1.33,57
3,1,103.72,103.82,1.33,57
3,1,103.82,103.98,1.31,57
2,1,103.98,104.06,1.3,57
2,1,104.06,104.14,1.29,57
3,1,104.14,104.24,1.28,57
3,1,104.24,104.34,1.27,57
0,1,104.34,104.34,1.27,57
0,0,104.34,104.1,1.27,57
2,1,104.1,104.22,1.26,57
1,1,104.22,104.24,1.26,57
0,0,104.24,103.97,1.24,57
0,0,103.97,103.75,1.24,57
2,1,103.75,103.94,1.23,57
0,1,103.94,103.98,1.23,57
0,0,103.94,103.78,1.23,57
1,1,103.78,103.81,1.23,57
1,0,103.81,103.76,1.23,57
0,0,103.76,103.44,1.23,57
2,0,103.44,103.41,1.23,57
1,0,103.41,103.38,1.23,57
2,1,103.38,103.59,1.22,57
2,1,103.59,103.8,1.2,57
0,0,103.8,103.75,1.2,57
0,1,103.75,103.78,1.21,58
0,1,103.75,103.78,1.21,58
2,1,103.78,103.91,1.2,58
2,1,103.91,104.08,1.2,58
1,1,104.08,104.13,1.2,58
1,1,104.13,104.15,1.21,58
0,0,104.15,104.02,1.21,58
1,0,104.02,104.02,1.21,58
0,0,104.02,104.0,1.21,58
0,0,104.0,103.99,1.22,58
0,0,103.99,103.98,1.22,58
0,1,103.98,103.99,1.22,58
0,0,103.98,103.96,1.22,58
1,0,103.96,103.96,1.22,58
0,0,103.96,103.95,1.23,58
1,0,103.95,103.95,1.23,58
0,0,103.95,103.94,1.23,58
0,1,103.94,103.97,1.23,59
0,1,103.94,103.97,1.23,59
2,1,103.97,104.19,1.22,59
1,1,104.19,104.28,1.22,59
2,1,104.28,104.46,1.2,59
0,0,104.46,104.21,1.19,59
1,0,104.21,104.1,1.19,59
0,0,104.1,103.97,1.18,59
0,0,103.97,103.8,1.18,59
0,0,103.8,103.64,1.17,59
0,0,103.64,103.39,1.16,59
2,1,103.39,103.67,1.14,59
1,1,103.67,103.86,1.13,59
0,0,103.86,103.71,1.13,59
0,0,103.71,103.57,1.12,59
0,0,103.57,103.46,1.12,59
0,0,103.46,103.35,1.12,59
0,0,103.46,103.35,1.12,59
2,1,103.35,103.54,1.12,59
3,1,103.54,103.81,1.1,59
1,0,103.81,103.8,1.11,59
0,0,103.8,103.8,1.11,59
3,1,103.8,103.82,1.11,59
2,1,103.82,103.82,1.11,59
1,1,103.82,103.83,1.11,59
3,1,103.83,103.97,1.1,59
2,1,103.97,103.97,1.1,59
4,1,103.97,104.08,1.09,59
0,0,104.08,103.94,1.1,64
0,0,104.08,103.94,1.1,64
0,1,103.94,103.94,1.1,64
1,1,103.94,103.95,1.1,64
0,1,103.95,103.95,1.1,64
0,0,103.95,103.87,1.11,64
1,0,103.87,103.81,1.11,64
1,1,103.81,103.82,1.11,64
